method,N_visitor,N_native,W_eff,seed,weff_util_visitor,weff_util_native,weff_util_total,proportionality,visitor_share,ideal_share,native_preservation
dcf_self_excl,10,10,100,789,0.3610000000000001,0.28506,0.64606,0.9980747197247196,0.4990373598623598,0.5,0.5180460146112746
and,10,10,100,789,0.60488,0.10164000000000001,0.70652,1.6592870074370076,0.8296435037185038,0.5,0.18471268127794135
oracle,10,10,100,1234,0.5532,0.22074000000000002,0.7739400000000001,1.3301896603396604,0.6650948301698302,0.5,0.40313390313390324
pnd,10,10,100,1234,0.6299600000000001,0.14676,0.7767200000000001,1.5441645521145522,0.7720822760572761,0.5,0.26802542187157574
pnd_cd,10,10,100,1234,0.60772,0.1653,0.7730199999999999,1.4873770840270841,0.7436885420135421,0.5,0.3018847249616481
ema_ad_low,10,10,100,1234,0.5026,0.25055999999999995,0.7531599999999999,1.2264818181818182,0.6132409090909091,0.5,0.4575936883629191
consec_L2,10,10,100,1234,0.3776000000000001,0.32747999999999994,0.7050799999999999,0.9433209512709513,0.47166047563547564,0.5,0.5980714442252903
dcf_self_excl,10,10,100,1234,0.36236000000000007,0.28194,0.6443,1.0003246198246196,0.5001623099123098,0.5,0.5149024764409381
and,10,10,100,1234,0.6132799999999999,0.09570000000000002,0.7089799999999999,1.6718389332889332,0.8359194666444666,0.5,0.17477536708305946
oracle,10,20,50,42,0.4201600000000001,0.3079200000000001,0.72808,1.6065202380952384,0.5355067460317461,0.33333333333333326,0.511665004985045
pnd,10,20,50,42,0.50888,0.22619999999999998,0.7350800000000001,1.9489892857142859,0.6496630952380953,0.33333333333333326,0.37587238285144564
pnd_cd,10,20,50,42,0.4952800000000001,0.23148000000000002,0.72676,1.9178428571428572,0.6392809523809524,0.33333333333333326,0.38464606181455635
ema_ad_low,10,20,50,42,0.3955200000000001,0.31260000000000004,0.7081199999999999,1.5386107142857144,0.512870238095238,0.33333333333333326,0.5194416749750749
consec_L2,10,20,50,42,0.29031999999999997,0.39216,0.68248,1.1044357142857144,0.3681452380952381,0.33333333333333326,0.6516450648055833
dcf_self_excl,10,20,50,42,0.23912,0.39588,0.635,1.0137,0.33790000000000003,0.33333333333333326,0.657826520438684
and,10,20,50,42,0.60496,0.02736,0.6323199999999999,2.8399178571428574,0.9466392857142857,0.33333333333333326,0.04546360917248255
oracle,10,20,50,123,0.43160000000000004,0.3012,0.7328,1.6534357142857143,0.5511452380952382,0.33333333333333326,0.4946787544343714
pnd,10,20,50,123,0.5089600000000001,0.22668000000000002,0.73564,1.9492083333333334,0.6497361111111111,0.33333333333333326,0.37229010642491145
pnd_cd,10,20,50,123,0.49456000000000006,0.23412000000000002,0.7286800000000001,1.915007142857143,0.6383357142857143,0.33333333333333326,0.3845092629089477
ema_ad_low,10,20,50,123,0.4002400000000001,0.31224,0.71248,1.558307142857143,0.5194357142857143,0.33333333333333326,0.5128104059913284
