access,W_eff,N,method,seed,succ_v,succ_n,useful
rts,200,20,pace,1234,0.17136,0.54608,0.71744
rts,200,20,oracle,42,0.47557,0.22448,0.70005
rts,200,20,oracle,123,0.46032,0.23941,0.69973
rts,200,20,oracle,456,0.4924,0.21915,0.71155
rts,200,20,oracle,789,0.48092,0.22597,0.70689
rts,200,20,oracle,1234,0.47997,0.22769,0.70766
rts,420,20,dcf_excl,42,0.39393333333333336,0.19847142857142858,0.5924047619047619
rts,420,20,dcf_excl,123,0.3885523809523809,0.2051952380952381,0.5937476190476191
rts,420,20,dcf_excl,456,0.38454285714285713,0.2086904761904762,0.5932333333333333
rts,420,20,dcf_excl,789,0.3889142857142857,0.1967952380952381,0.5857095238095238
rts,420,20,dcf_excl,1234,0.39193333333333336,0.19755238095238095,0.5894857142857143
rts,420,20,pace,42,0.17204761904761906,0.5504285714285714,0.7224761904761905
rts,420,20,pace,123,0.1784047619047619,0.5433619047619047,0.7217666666666667
rts,420,20,pace,456,0.17633333333333334,0.5449047619047619,0.7212380952380952
rts,420,20,pace,789,0.17088095238095238,0.5521380952380952,0.7230190476190477
rts,420,20,pace,1234,0.16315238095238097,0.5566428571428571,0.719795238095238
rts,420,20,oracle,42,0.5353333333333333,0.1888142857142857,0.724147619047619
rts,420,20,oracle,123,0.5356904761904762,0.187,0.7226904761904762
rts,420,20,oracle,456,0.5409666666666667,0.1844761904761905,0.7254428571428572
rts,420,20,oracle,789,0.5361952380952381,0.18638095238095237,0.7225761904761905
rts,420,20,oracle,1234,0.5457380952380952,0.1799238095238095,0.7256619047619047
rts,840,20,dcf_excl,42,0.4194904761904762,0.20684047619047619,0.6263309523809524
rts,840,20,dcf_excl,123,0.4293119047619048,0.19537380952380953,0.6246857142857143
rts,840,20,dcf_excl,456,0.4238190476190476,0.19965952380952381,0.6234785714285714
rts,840,20,dcf_excl,789,0.42752619047619045,0.19826666666666667,0.6257928571428572
rts,840,20,dcf_excl,1234,0.4342261904761905,0.19155,0.6257761904761905
rts,840,20,pace,42,0.24136666666666667,0.489,0.7303666666666667
rts,840,20,pace,123,0.24552380952380953,0.48574047619047617,0.7312642857142857
