num_stas,method,harq_enabled,adaptive_cw,npca_qsrc,seed,mean_access_delay,p95_access_delay,p99_access_delay,mean_retx_count,aggregate_throughput,collision_probability_npca
30,fixed_q0_arq,False,False,0,123,419.9375,1316.0,1605.0,5.653409090909091,176,0.8288690476190477
30,fixed_q0_arq,False,False,0,456,351.36571428571426,1066.0,1666.0,5.937142857142857,175,0.8383152173913043
30,fixed_q1_arq,False,False,1,42,483.3333333333333,1731.0,2989.0,3.4644808743169397,183,0.6679841897233202
30,fixed_q1_arq,False,False,1,123,454.32369942196533,1550.0,2751.0,3.69364161849711,173,0.6945454545454546
30,fixed_q1_arq,False,False,1,456,498.9076086956522,2060.0,2587.0,3.364130434782609,184,0.6586538461538461
30,fixed_q2_arq,False,False,2,42,541.4488636363636,2296.0,3109.0,3.0738636363636362,176,0.5327510917030568
30,fixed_q2_arq,False,False,2,123,591.4682080924855,2471.0,3478.0,2.9710982658959537,173,0.4427083333333333
30,fixed_q2_arq,False,False,2,456,594.9651162790698,2129.0,2938.0,2.936046511627907,172,0.4597156398104265
30,fixed_q3_arq,False,False,3,42,516.4848484848485,1865.0,3341.0,2.684848484848485,165,0.27388535031847133
30,fixed_q3_arq,False,False,3,123,632.8301886792453,2329.0,3203.0,2.842767295597484,159,0.31451612903225806
30,fixed_q3_arq,False,False,3,456,635.5123456790124,2474.0,3258.0,2.7901234567901234,162,0.29577464788732394
30,adaptive_arq,False,True,0,42,394.76687116564415,1415.0,1876.0,5.024539877300613,163,0.7682242990654206
30,adaptive_arq,False,True,0,123,418.6666666666667,1406.0,2237.0,4.971751412429379,177,0.789198606271777
30,adaptive_arq,False,True,0,456,437.71590909090907,1594.0,2082.0,4.698863636363637,176,0.8047210300429185
30,fixed_q0_harq,True,False,0,42,398.1878453038674,1444.0,1993.0,4.988950276243094,181,0.8216216216216217
30,fixed_q0_harq,True,False,0,123,419.9375,1316.0,1605.0,5.653409090909091,176,0.8288690476190477
30,fixed_q0_harq,True,False,0,456,351.36571428571426,1066.0,1666.0,5.937142857142857,175,0.8383152173913043
30,fixed_q1_harq,True,False,1,42,471.2967032967033,1521.0,2466.0,3.82967032967033,182,0.7014563106796117
30,fixed_q1_harq,True,False,1,123,471.8135593220339,1692.0,2579.0,3.6836158192090394,177,0.6909090909090909
30,fixed_q1_harq,True,False,1,456,498.9076086956522,2060.0,2587.0,3.364130434782609,184,0.6586538461538461
30,fixed_q2_harq,True,False,2,42,544.4550898203593,2158.0,2798.0,3.1736526946107784,167,0.5178571428571429
30,fixed_q2_harq,True,False,2,123,567.1761363636364,2262.0,3237.0,2.8920454545454546,176,0.4111111111111111
30,fixed_q2_harq,True,False,2,456,536.4770114942529,1781.0,3154.0,3.074712643678161,174,0.4951923076923077
30,fixed_q3_harq,True,False,3,42,510.04117647058825,2022.0,3204.0,2.611764705882353,170,0.21794871794871795
30,fixed_q3_harq,True,False,3,123,565.7088607594936,1995.0,3332.0,2.9556962025316458,158,0.36619718309859156
30,fixed_q3_harq,True,False,3,456,630.0853658536586,2474.0,3258.0,2.7804878048780486,164,0.29577464788732394
30,adaptive_harq,True,True,0,42,372.3011363636364,1588.0,2264.0,4.528409090909091,176,0.8
30,adaptive_harq,True,True,0,123,416.9553072625698,1409.0,2243.0,4.709497206703911,179,0.7664233576642335
30,adaptive_harq,True,True,0,456,443.44632768361583,1594.0,2082.0,4.68361581920904,177,0.8042105263157895
50,fixed_q0_arq,False,False,0,42,402.093567251462,1182.0,1862.0,9.654970760233919,171,0.9179916317991632
50,fixed_q0_arq,False,False,0,123,372.09554140127386,1151.0,1430.0,10.611464968152866,157,0.9261744966442953
50,fixed_q0_arq,False,False,0,456,368.94011976047904,1109.0,1433.0,12.0,167,0.9300970873786408
