access,w_eff,n_vis,n_nat,eps,T,rho,idle,cv,sv
rts,210,20,5,0.05,0.7411349206349206,0.3238009059464784,0.6743393009377664,0.020582145901838995,0.048836926074777735
rts,210,20,5,0.0638469417991665,0.7366825396825397,0.33619454439680246,0.6741923862135223,0.024138345142308153,0.049717785516992914
rts,210,20,5,0.0815286395421231,0.7380238095238095,0.34948274564205134,0.6711629602624863,0.024182768258597644,0.05261878721594362
rts,210,20,5,0.10410708607622314,0.7386825396825397,0.3607344693469712,0.6677712322042219,0.02663230240549828,0.05670103092783505
rts,210,20,5,0.13293838131178873,0.7368968253968254,0.40460855798123835,0.6642416769420468,0.029469790382244142,0.06374845869297165
rts,210,20,5,0.16975418188978358,0.7368888888888889,0.44727673186282957,0.6614143920595533,0.036228287841191066,0.06997518610421836
rts,210,20,5,0.21676570742564272,0.7331666666666666,0.47160339471091917,0.6538797950768462,0.043108834187179805,0.07572160439835061
rts,210,20,5,0.2767965501212033,0.7334603174603175,0.5337414516966759,0.6490074598558604,0.05221899102288532,0.08547224680743457
rts,210,20,5,0.35345226451597084,0.7275714285714285,0.5973885725505595,0.6325479593150508,0.0657911677610403,0.099523625595468
rts,210,20,5,0.4513369232266959,0.7312539682539683,0.6576955219344895,0.6189775160599572,0.0726713062098501,0.11415952890792291
rts,210,20,5,0.5763296453813948,0.7145476190476191,0.7158764008752346,0.5994442238983724,0.10348021701733492,0.12081513828238719
rts,210,20,5,0.7359377065160035,0.7009285714285715,0.8069227894969258,0.5751267680811316,0.13223912463303977,0.1347744862556712
rts,210,20,5,0.9397474383147868,0.694468253968254,0.8651131961189902,0.5543137522148017,0.15605833446912906,0.14624505928853754
rts,210,20,5,1.2,0.6779206349206349,0.8899470837528389,0.5230938921825452,0.18833586102302496,0.15000689369915896
rts,210,20,10,0.05,0.7147222222222223,0.29941702293043143,0.5788890428037125,0.02479567807175509,0.04238814240199473
rts,210,20,10,0.0638469417991665,0.7166031746031746,0.31162229211890313,0.5770684586308273,0.0250594988100238,0.044379112417751644
rts,210,20,10,0.0815286395421231,0.7165476190476191,0.3121282605083901,0.5769284614307714,0.0253394932101358,0.04493910121797564
rts,210,20,10,0.10410708607622314,0.7178412698412698,0.31627565009729347,0.5765930510620341,0.03136868757912505,0.04529469686313124
rts,210,20,10,0.13293838131178873,0.7168253968253968,0.34786315323294953,0.572695285010556,0.03406052076002815,0.05137227304714989
rts,210,20,10,0.16975418188978358,0.710031746031746,0.35477957614235894,0.5717842323651452,0.038174273858921165,0.05172890733056708
rts,210,20,10,0.21676570742564272,0.7053888888888888,0.37368782277028323,0.5708817498291182,0.04565960355434039,0.05386192754613807
rts,210,20,10,0.2767965501212033,0.7131825396825396,0.38484437075038114,0.5657708628005658,0.048797736916548796,0.05898161244695898
rts,210,20,10,0.35345226451597084,0.713468253968254,0.44342414096132243,0.5575513723236097,0.05733582411265987,0.06681994539445323
rts,210,20,10,0.4513369232266959,0.7045555555555556,0.5192229706896164,0.5501837715578174,0.0720949957591179,0.07888040712468193
rts,210,20,10,0.5763296453813948,0.6987460317460318,0.5813986506440109,0.546855301863006,0.09230984731755147,0.08642667040201708
rts,210,20,10,0.7359377065160035,0.6903412698412699,0.663733143257878,0.5290304396843292,0.1161217587373168,0.09751972942502818
rts,210,20,10,0.9397474383147868,0.6838174603174603,0.7704645953505648,0.5108231273141555,0.13728282540586728,0.11606379948732555
rts,210,20,10,1.2,0.661952380952381,0.8377994388892887,0.48027153160797625,0.18455663979635129,0.12233064630179606
rts,210,20,20,0.05,0.6518174603174604,0.3502051650452337,0.49906266738082483,0.029994643813604713,0.03240492769148366
