access,w_eff,n_vis,eps,T,rho,idle,coll_vis,coll_nat,solo_vis,solo_nat
rts,840,20,0.13294,0.73256,0.37285,0.58285,0.03697,0.10438,0.05704,0.21876
rts,840,20,0.16975,0.7312,0.46428,0.56966,0.05542,0.09679,0.07213,0.20599
rts,840,20,0.21677,0.72854,0.58586,0.55076,0.07554,0.09183,0.09367,0.1882
rts,840,20,0.2768,0.7294,0.70718,0.52822,0.09956,0.08313,0.11681,0.17227
rts,840,20,0.35345,0.72666,0.8086,0.50083,0.13062,0.07297,0.13781,0.15777
rts,840,20,0.45134,0.7154,0.9096,0.4736,0.17305,0.06102,0.15567,0.13666
rts,840,20,0.57633,0.7052,1.00771,0.44812,0.21395,0.05168,0.16979,0.11645
rts,840,20,0.73594,0.68389,1.07253,0.40429,0.27482,0.04333,0.17821,0.09936
rts,840,20,0.93975,0.62375,1.12216,0.34072,0.38824,0.03455,0.15828,0.0782
rts,840,20,1.2,0.51488,1.14917,0.24631,0.55259,0.02505,0.1199,0.05614
rts,840,50,0.05,0.73253,0.27329,0.59007,0.03387,0.10494,0.05073,0.22039
rts,840,50,0.06385,0.73234,0.31071,0.58579,0.0371,0.10448,0.05813,0.21449
rts,840,50,0.08153,0.73581,0.34367,0.5777,0.0451,0.09775,0.06571,0.21375
rts,840,50,0.10411,0.73619,0.4078,0.5661,0.05496,0.09559,0.07978,0.20357
rts,840,50,0.13294,0.73625,0.475,0.55292,0.06747,0.09174,0.09569,0.19218
rts,840,50,0.16975,0.73602,0.54397,0.53571,0.08427,0.08596,0.11369,0.18037
rts,840,50,0.21677,0.72944,0.6193,0.51953,0.11253,0.07721,0.12864,0.16208
rts,840,50,0.2768,0.72505,0.68511,0.49612,0.13871,0.06912,0.14754,0.14852
rts,840,50,0.35345,0.72441,0.75301,0.47261,0.16222,0.06298,0.1663,0.13589
rts,840,50,0.45134,0.71525,0.80839,0.45388,0.19607,0.05393,0.17676,0.11936
rts,840,50,0.57633,0.71014,0.85846,0.43652,0.22165,0.04771,0.18774,0.10638
rts,840,50,0.73594,0.69553,0.88947,0.42112,0.25287,0.04154,0.18937,0.0951
rts,840,50,0.93975,0.67058,0.9292,0.39101,0.30846,0.03505,0.18521,0.08027
rts,840,50,1.2,0.607,0.95403,0.32782,0.42053,0.02804,0.1597,0.06391
rts,1680,5,0.05,0.73836,0.11068,0.63387,0.00432,0.10408,0.00755,0.25018
rts,1680,5,0.06385,0.73809,0.18292,0.63152,0.00698,0.10374,0.01277,0.24499
rts,1680,5,0.08153,0.74062,0.31854,0.62334,0.01277,0.10079,0.02263,0.24047
rts,1680,5,0.10411,0.74077,0.55288,0.61287,0.02348,0.09755,0.0406,0.2255
rts,1680,5,0.13294,0.74155,0.82164,0.58993,0.0429,0.09118,0.06364,0.21235
rts,1680,5,0.16975,0.74075,1.19302,0.55976,0.07069,0.08469,0.09705,0.1878
rts,1680,5,0.21677,0.7376,1.48203,0.5198,0.10362,0.07901,0.12863,0.16895
rts,1680,5,0.2768,0.72766,1.72774,0.47138,0.15747,0.06899,0.154,0.14816
rts,1680,5,0.35345,0.70207,1.92482,0.4126,0.23582,0.05889,0.16863,0.12406
rts,1680,5,0.45134,0.66464,2.08691,0.35033,0.33279,0.04703,0.17043,0.09942
rts,1680,5,0.57633,0.54307,2.11081,0.24594,0.53027,0.03226,0.12198,0.06954
rts,1680,5,0.73594,0.45698,2.1773,0.17149,0.65657,0.02272,0.09815,0.05106
rts,1680,5,0.93975,0.27812,1.94301,0.10693,0.79918,0.01514,0.04512,0.03363
rts,1680,5,1.2,0.37764,2.37889,0.10384,0.76662,0.01363,0.08384,0.03207
rts,1680,10,0.05,0.73948,0.14888,0.62815,0.0083,0.103,0.01545,0.24509
rts,1680,10,0.06385,0.74032,0.22162,0.62426,0.01275,0.10097,0.02354,0.23848
rts,1680,10,0.08153,0.74205,0.33642,0.61474,0.02051,0.09766,0.03666,0.23043
rts,1680,10,0.10411,0.74334,0.48764,0.59768,0.03445,0.09299,0.05569,0.21919
rts,1680,10,0.13294,0.74184,0.69339,0.57415,0.05691,0.08724,0.0832,0.1985
rts,1680,10,0.16975,0.73847,0.88274,0.54312,0.0881,0.0798,0.11029,0.17869
rts,1680,10,0.21677,0.73541,1.06342,0.50787,0.12113,0.07288,0.13968,0.15844
rts,1680,10,0.2768,0.73057,1.21592,0.47229,0.15794,0.06552,0.16524,0.13901
rts,1680,10,0.35345,0.71651,1.32979,0.43523,0.2094,0.05613,0.1793,0.11994
rts,1680,10,0.45134,0.70693,1.43089,0.40338,0.25234,0.04612,0.19438,0.10378
rts,1680,10,0.57633,0.6517,1.51132,0.33448,0.37333,0.03444,0.17919,0.07855
rts,1680,10,0.73594,0.52954,1.53238,0.22998,0.56349,0.02338,0.12841,0.05475
rts,1680,10,0.93975,0.34836,1.4732,0.13406,0.74976,0.01492,0.06716,0.0341
rts,1680,10,1.2,0.36129,1.59746,0.10759,0.77154,0.01325,0.07817,0.02945
rts,1680,20,0.05,0.74114,0.19295,0.62005,0.0158,0.0993,0.0276,0.23724
rts,1680,20,0.06385,0.74265,0.27506,0.61375,0.02206,0.0965,0.04021,0.22747
rts,1680,20,0.08153,0.74344,0.36796,0.59962,0.03276,0.09323,0.05639,0.218
rts,1680,20,0.10411,0.7442,0.49351,0.58042,0.05016,0.08771,0.07843,0.20328
rts,1680,20,0.13294,0.74262,0.61886,0.55484,0.07392,0.08173,0.10294,0.18657
rts,1680,20,0.16975,0.73847,0.74866,0.52564,0.10522,0.0735,0.12939,0.16625
rts,1680,20,0.21677,0.73431,0.87677,0.49381,0.13908,0.06723,0.15556,0.1443
rts,1680,20,0.2768,0.73061,0.95402,0.46357,0.17079,0.0591,0.17446,0.13207
rts,1680,20,0.35345,0.72226,1.03301,0.43892,0.20476,0.0516,0.19046,0.11425
rts,1680,20,0.45134,0.71401,1.10022,0.41615,0.23946,0.04289,0.20247,0.09903
rts,1680,20,0.57633,0.70428,1.15298,0.39103,0.27679,0.03428,0.21131,0.08658
rts,1680,20,0.73594,0.62921,1.19707,0.31786,0.41841,0.02528,0.17623,0.06223
rts,1680,20,0.93975,0.47055,1.17694,0.20102,0.63075,0.01737,0.10847,0.04238
rts,1680,20,1.2,0.40139,1.21731,0.13604,0.72831,0.01335,0.09084,0.03146
rts,1680,50,0.05,0.74397,0.30318,0.60219,0.03408,0.09117,0.05716,0.21541
rts,1680,50,0.06385,0.74418,0.3599,0.58822,0.04491,0.08789,0.07047,0.20852
rts,1680,50,0.08153,0.74425,0.44963,0.57118,0.06064,0.08342,0.09099,0.19377
rts,1680,50,0.10411,0.74518,0.53542,0.54896,0.07802,0.07895,0.11354,0.18053
rts,1680,50,0.13294,0.73979,0.6306,0.52422,0.1087,0.07024,0.13769,0.15916
rts,1680,50,0.16975,0.738,0.70648,0.49723,0.13498,0.06484,0.15847,0.14448
rts,1680,50,0.21677,0.73235,0.77575,0.47139,0.16516,0.05816,0.1773,0.12799
rts,1680,50,0.2768,0.72749,0.83068,0.44749,0.19595,0.04943,0.1932,0.11394
rts,1680,50,0.35345,0.72399,0.88364,0.42931,0.22032,0.04421,0.20632,0.09984
rts,1680,50,0.45134,0.71788,0.9198,0.41386,0.24433,0.03698,0.21535,0.08947
rts,1680,50,0.57633,0.71216,0.96248,0.40169,0.26754,0.03092,0.2232,0.07665
rts,1680,50,0.73594,0.69492,0.97773,0.38404,0.30401,0.02607,0.21642,0.06947
rts,1680,50,0.93975,0.64419,0.99903,0.33802,0.39635,0.02066,0.1899,0.05508
rts,1680,50,1.2,0.5029,1.00414,0.21468,0.60525,0.01391,0.12869,0.03747
basic,105,5,0.05,0.68592,0.16523,0.60519,0.01039,0.10234,0.01143,0.27065
basic,105,5,0.06385,0.68592,0.16523,0.60519,0.01039,0.10234,0.01143,0.27065
basic,105,5,0.08153,0.68675,0.16787,0.60519,0.01039,0.10182,0.01169,0.27091
basic,105,5,0.10411,0.68668,0.17045,0.6054,0.0109,0.10177,0.01194,0.26999
basic,105,5,0.13294,0.68622,0.18001,0.60422,0.01119,0.10174,0.01223,0.27062
basic,105,5,0.16975,0.68611,0.18399,0.60442,0.01144,0.10195,0.01248,0.2697
basic,105,5,0.21677,0.68386,0.18557,0.60391,0.01276,0.1013,0.01276,0.26927
basic,105,5,0.2768,0.67757,0.20831,0.60323,0.01277,0.10401,0.0146,0.26538
basic,105,5,0.35345,0.67846,0.2406,0.59689,0.01553,0.10321,0.01738,0.26698
basic,105,5,0.45134,0.67549,0.26697,0.59579,0.01921,0.09921,0.02,0.26579
basic,105,5,0.57633,0.6619,0.29158,0.58991,0.02324,0.09982,0.02112,0.26591
basic,105,5,0.73594,0.64286,0.32378,0.58269,0.03106,0.10353,0.02469,0.25803
basic,105,5,0.93975,0.62408,0.46774,0.57606,0.04178,0.09909,0.03321,0.24987
basic,105,5,1.2,0.60094,0.54613,0.57286,0.05363,0.09074,0.03954,0.24323
