method,ppdu_dist,N,W_eff,seed,visit,successes,oracle_successes,efficiency,useful_slots,W_eff_utilization,viable_slots_wasted,collision_rate,tau_rmse,false_trigger_rate
ema_ad_low,homo,10,200,42,1000,10.0,10.0,1.0,60.0,0.30000000000000565,19.59,0.09183557827681667,0.19390106335725962,1.8282795358991213
consec_L2,homo,10,200,42,1000,10.0,10.0,1.0,60.0,0.30000000000000565,20.158,0.08388320269937988,0.175399774789877,1.630464375407383
and,homo,10,200,42,1000,10.0,10.0,1.0,60.0,0.30000000000000565,17.759,0.36499357314619135,0.0,0.0
pnd,homo,10,200,42,1000,10.0,10.0,1.0,60.0,0.30000000000000565,10.574,0.19095510464495152,0.0,0.0
oracle,homo,10,200,42,1000,10.0,10.0,1.0,60.0,0.30000000000000565,7.092,0.23328096962347292,0.0,0.0
dcf_self_excl,homo,10,200,123,1000,9.993,10.0,0.9993,59.958,0.2997900000000056,42.9,0.07120903457098658,0.0,0.0
ema_ad_low,homo,10,200,123,1000,10.0,10.0,1.0,60.0,0.30000000000000565,19.738,0.09003940651133173,0.1974934356264087,1.8237383330889259
consec_L2,homo,10,200,123,1000,10.0,10.0,1.0,60.0,0.30000000000000565,20.337,0.08320802401941467,0.17432944117401894,1.6463668902870532
and,homo,10,200,123,1000,10.0,10.0,1.0,60.0,0.30000000000000565,18.192,0.3661912499670137,0.0,0.0
pnd,homo,10,200,123,1000,10.0,10.0,1.0,60.0,0.30000000000000565,10.803,0.19468813494070772,0.0,0.0
oracle,homo,10,200,123,1000,10.0,10.0,1.0,60.0,0.30000000000000565,7.19,0.2377771467515217,0.0,0.0
dcf_self_excl,homo,10,200,456,1000,9.99,10.0,0.9989999999999999,59.94,0.29970000000000563,43.335,0.07097810497604279,0.0,0.0
ema_ad_low,homo,10,200,456,1000,10.0,10.0,1.0,60.0,0.30000000000000565,19.539,0.08895166584484551,0.19630175497633237,1.8186675745619811
consec_L2,homo,10,200,456,1000,10.0,10.0,1.0,60.0,0.30000000000000565,20.187,0.08357759156454476,0.17690277799460394,1.625677735197513
and,homo,10,200,456,1000,10.0,10.0,1.0,60.0,0.30000000000000565,17.924,0.36956329341505284,0.0,0.0
pnd,homo,10,200,456,1000,10.0,10.0,1.0,60.0,0.30000000000000565,10.828,0.1939725282434036,0.0,0.0
oracle,homo,10,200,456,1000,10.0,10.0,1.0,60.0,0.30000000000000565,6.98,0.2367401182214862,0.0,0.0
dcf_self_excl,homo,10,200,789,1000,9.998,10.0,0.9997999999999999,59.988,0.29994000000000565,42.162,0.07144066977013337,0.0,0.0
ema_ad_low,homo,10,200,789,1000,10.0,10.0,1.0,60.0,0.30000000000000565,19.464,0.08924367099534233,0.19755141419114972,1.7933701514599532
consec_L2,homo,10,200,789,1000,10.0,10.0,1.0,60.0,0.30000000000000565,20.276,0.08303507464931163,0.17431747828481153,1.6546867254295046
and,homo,10,200,789,1000,10.0,10.0,1.0,60.0,0.30000000000000565,18.861,0.361977403454934,0.0,0.0
pnd,homo,10,200,789,1000,10.0,10.0,1.0,60.0,0.30000000000000565,10.683,0.1946843164702534,0.0,0.0
oracle,homo,10,200,789,1000,10.0,10.0,1.0,60.0,0.30000000000000565,7.057,0.23986354033364582,0.0,0.0
dcf_self_excl,homo,10,200,1234,1000,9.995,10.0,0.9994999999999998,59.97,0.29985000000000567,43.188,0.07108259314783125,0.0,0.0
ema_ad_low,homo,10,200,1234,1000,10.0,10.0,1.0,60.0,0.30000000000000565,19.583,0.08837363204832,0.19639160562740565,1.7858133833939427
consec_L2,homo,10,200,1234,1000,10.0,10.0,1.0,60.0,0.30000000000000565,20.528,0.08410549073407048,0.1733798532950191,1.6709937322045338
and,homo,10,200,1234,1000,9.999,10.0,0.9999,59.994,0.2999700000000057,18.475,0.3670141599592949,0.0,0.0
pnd,homo,10,200,1234,1000,9.996,10.0,0.9995999999999999,59.976,0.29988000000000564,10.71,0.19073008533251387,0.0,0.0
oracle,homo,10,200,1234,1000,10.0,10.0,1.0,60.0,0.30000000000000565,7.14,0.24124666046519014,0.0,0.0
dcf_self_excl,homo,20,20,42,1000,1.856,2.192,0.9003333333333311,11.136,0.5568000000000082,3.999,0.15566785159285162,0.0,0.0
ema_ad_low,homo,20,20,42,1000,2.215,2.192,1.0748333333333315,13.29,0.6645000000000045,2.277,0.21748462648462627,0.009912113401904989,4.662154620379623
consec_L2,homo,20,20,42,1000,2.114,2.192,1.0274999999999976,12.684,0.6342000000000045,3.111,0.16225497835497818,0.019272125313462413,3.378510497835495
and,homo,20,20,42,1000,0.235,2.192,0.11483333333333325,1.41,0.07049999999999974,0.024,0.9763190642690606,0.0,0.0
pnd,homo,20,20,42,1000,2.172,2.192,1.049833333333331,13.032,0.6516000000000055,2.16,0.24398473470973409,0.0,0.0
oracle,homo,20,20,42,1000,2.21,2.192,1.0703333333333314,13.26,0.6630000000000051,2.114,0.23557810245310198,0.0,0.0
dcf_self_excl,homo,20,20,123,1000,1.832,2.207,0.8948333333333313,10.992,0.5496000000000077,4.081,0.16181881729381736,0.0,0.0
ema_ad_low,homo,20,20,123,1000,2.217,2.207,1.0806666666666642,13.302,0.6651000000000039,2.29,0.2109165306915303,0.009783783661712701,4.834661785436787
consec_L2,homo,20,20,123,1000,2.114,2.207,1.0324999999999975,12.684,0.6342000000000043,2.997,0.17078875846375818,0.01958035422360829,3.2956112859362845
and,homo,20,20,123,1000,0.224,2.207,0.11016666666666662,1.344,0.06719999999999977,0.029,0.9775047730047701,0.0,0.0
