method,ppdu_dist,N,W_eff,seed,visit,successes,oracle_successes,efficiency,useful_slots,W_eff_utilization,viable_slots_wasted,collision_rate,tau_rmse,false_trigger_rate
ema_ad_low,homo,20,50,789,1000,6.023,6.127,0.9991369047619049,36.138,0.722760000000012,7.475,0.18346165513255658,0.016976918683289637,4.315218728676583
consec_L2,homo,20,50,789,1000,5.74,6.127,0.9527095238095248,34.44,0.6888000000000121,9.806,0.1305557852727662,0.02741645279626248,4.621842478714714
and,homo,20,50,789,1000,2.955,6.127,0.48908333333333426,17.73,0.3546000000000058,1.046,0.8712123104715732,0.0,0.0
pnd,homo,20,50,789,1000,6.074,6.127,1.0072523809523815,36.444,0.7288800000000121,5.706,0.2736564847838867,0.0,0.0
oracle,homo,20,50,789,1000,6.17,6.127,1.0228523809523802,37.02,0.7404000000000114,5.725,0.2530231329604054,0.0,0.0
dcf_self_excl,homo,20,50,1234,1000,5.044,6.095,0.8435761904761891,30.264,0.6052800000000117,12.26,0.18044835258295905,0.0,0.0
ema_ad_low,homo,20,50,1234,1000,6.032,6.095,1.0079523809523825,36.192,0.7238400000000119,7.491,0.17947596919515613,0.016923683153058606,4.379522844059047
consec_L2,homo,20,50,1234,1000,5.708,6.095,0.9536999999999999,34.248,0.6849600000000116,10.079,0.13268598691197828,0.027814755595272148,4.715083660362009
and,homo,20,50,1234,1000,2.986,6.095,0.4985619047619059,17.916,0.35832000000000586,0.932,0.8733159495728875,0.0,0.0
pnd,homo,20,50,1234,1000,6.089,6.095,1.0173428571428569,36.534,0.7306800000000123,5.709,0.27134236027801933,0.0,0.0
oracle,homo,20,50,1234,1000,6.142,6.095,1.026383333333334,36.852,0.7370400000000116,5.742,0.25613411755548376,0.0,0.0
dcf_self_excl,homo,20,100,42,1000,10.239,12.718,0.8103582639582627,61.434,0.6143400000000082,27.999,0.1538019873709035,0.0,0.0
ema_ad_low,homo,20,100,42,1000,12.285,12.718,0.9722430180930177,73.71,0.7371000000000005,17.605,0.15288268080862025,0.030494475743895813,5.014596255647529
consec_L2,homo,20,100,42,1000,11.635,12.718,0.9207737429237409,69.81,0.6981000000000049,22.256,0.11703762070044667,0.03854893649254578,4.492016755734032
