n_vis,n_nat,w_eff,access,eps_idle,eps_coll,c_idle,c_coll,T,rho,J_a0.0,J_a0.05,J_a0.1,J_a0.2,J_a0.5
5,0,105,rts,0.86244,0.86244,2.3689338461802025,2.3689338461802025,0.5866071428571429,1.0,-0.5333999458045297,-0.5333999458045297,-0.5333999458045297,-0.5333999458045297,-0.5333999458045297
5,0,105,rts,0.86244,1.386294,2.3689338461802025,3.999998555520698,0.5897023809523809,1.0,-0.5281373084183201,-0.5281373084183201,-0.5281373084183201,-0.5281373084183201,-0.5281373084183201
5,0,105,rts,1.386294,0.05,3.999998555520698,1.0512710963760241,0.5346230158730159,1.0,-0.6261934236918629,-0.6261934236918629,-0.6261934236918629,-0.6261934236918629,-0.6261934236918629
5,0,105,rts,1.386294,0.08037,3.999998555520698,1.0836879580501442,0.5316468253968254,1.0,-0.6317758721305093,-0.6317758721305093,-0.6317758721305093,-0.6317758721305093,-0.6317758721305093
5,0,105,rts,1.386294,0.129188,3.999998555520698,1.1379040300155947,0.5337103174603175,1.0,-0.6279020638817161,-0.6279020638817161,-0.6279020638817161,-0.6279020638817161,-0.6279020638817161
5,0,105,rts,1.386294,0.207658,3.999998555520698,1.2307921666404829,0.5378571428571428,1.0,-0.6201622878034565,-0.6201622878034565,-0.6201622878034565,-0.6201622878034565,-0.6201622878034565
5,0,105,rts,1.386294,0.333792,3.999998555520698,1.3962526928085686,0.5411111111111111,1.0,-0.614130640241721,-0.614130640241721,-0.614130640241721,-0.614130640241721,-0.614130640241721
5,0,105,rts,1.386294,0.53654,3.999998555520698,1.710079738279151,0.5439285714285714,1.0,-0.6089373432681335,-0.6089373432681335,-0.6089373432681335,-0.6089373432681335,-0.6089373432681335
5,0,105,rts,1.386294,0.86244,3.999998555520698,2.3689338461802025,0.5491071428571429,1.0,-0.5994616964826223,-0.5994616964826223,-0.5994616964826223,-0.5994616964826223,-0.5994616964826223
5,0,105,rts,1.386294,1.386294,3.999998555520698,3.999998555520698,0.5424404761904762,1.0,-0.6116769208952234,-0.6116769208952234,-0.6116769208952234,-0.6116769208952234,-0.6116769208952234
5,0,105,rts,0.027778,0.027778,1.0281674059193349,1.0281674059193349,0.4641071428571429,1.0,-0.7676398420817503,-0.7676398420817503,-0.7676398420817503,-0.7676398420817503,-0.7676398420817503
5,0,105,rts,0.027778,0.048561,1.0281674059193349,1.0497594051910042,0.4641071428571429,1.0,-0.7676398420817503,-0.7676398420817503,-0.7676398420817503,-0.7676398420817503,-0.7676398420817503
5,0,105,rts,0.027778,0.084896,1.0281674059193349,1.0886038460110399,0.4641071428571429,1.0,-0.7676398420817503,-0.7676398420817503,-0.7676398420817503,-0.7676398420817503,-0.7676398420817503
5,0,105,rts,0.027778,0.148416,1.0281674059193349,1.1599953540721066,0.4641071428571429,1.0,-0.7676398420817503,-0.7676398420817503,-0.7676398420817503,-0.7676398420817503,-0.7676398420817503
5,0,105,rts,0.027778,0.259462,1.0281674059193349,1.2962325259398064,0.4641071428571429,1.0,-0.7676398420817503,-0.7676398420817503,-0.7676398420817503,-0.7676398420817503,-0.7676398420817503
5,0,105,rts,0.027778,0.453594,1.0281674059193349,1.5739588404457006,0.4621031746031746,1.0,-0.7719670911810732,-0.7719670911810732,-0.7719670911810732,-0.7719670911810732,-0.7719670911810732
5,0,105,rts,0.027778,0.792979,1.0281674059193349,2.209970130881297,0.4621031746031746,1.0,-0.7719670911810732,-0.7719670911810732,-0.7719670911810732,-0.7719670911810732,-0.7719670911810732
5,0,105,rts,0.027778,1.386294,1.0281674059193349,3.999998555520698,0.4621031746031746,1.0,-0.7719670911810732,-0.7719670911810732,-0.7719670911810732,-0.7719670911810732,-0.7719670911810732
5,0,105,rts,0.048561,0.027778,1.0497594051910042,1.0281674059193349,0.5001984126984127,1.0,-0.6927504338774945,-0.6927504338774945,-0.6927504338774945,-0.6927504338774945,-0.6927504338774945
