topology,N,W_eff,protocol,seed,CW0,mean_success,std_success,mean_spatial_reuse,mean_degree,alpha_G
complete,16,100,mfg_carrier_sense,42,,15.86,0.36110940170535577,0.0,15.0,1
complete,16,100,oracle_topology,42,16,15.2625,0.0,0.0,15.0,1
complete,16,200,dcf_ieee,42,16,15.96,0.24166091947189144,0.0,15.0,1
complete,16,200,dcf_topology,42,32,15.935,0.26603571188846054,0.0,15.0,1
complete,16,200,mfg_full_N,42,,16.0,0.0,0.0,15.0,1
complete,16,200,mfg_perfect_local,42,,16.0,0.0,0.0,15.0,1
complete,16,200,mfg_carrier_sense,42,,16.0,0.0,0.0,15.0,1
complete,16,200,oracle_topology,42,7,16.0,0.0,0.0,15.0,1
complete,16,500,dcf_ieee,42,16,16.0,0.0,0.0,15.0,1
complete,16,500,dcf_topology,42,32,16.0,0.0,0.0,15.0,1
complete,16,500,mfg_full_N,42,,16.0,0.0,0.0,15.0,1
complete,16,500,mfg_perfect_local,42,,16.0,0.0,0.0,15.0,1
complete,16,500,mfg_carrier_sense,42,,16.0,0.0,0.0,15.0,1
complete,16,500,oracle_topology,42,4,16.0,0.0,0.0,15.0,1
complete,16,20,dcf_ieee,123,16,4.905,1.5251147497811435,0.0,15.0,1
complete,16,20,dcf_topology,123,32,4.65,1.3444329659748753,0.0,15.0,1
complete,16,20,mfg_full_N,123,,7.695,2.0933167462187847,0.0,15.0,1
complete,16,20,mfg_perfect_local,123,,7.695,2.0933167462187847,0.0,15.0,1
complete,16,20,mfg_carrier_sense,123,,7.215,1.8052077442776495,0.0,15.0,1
complete,16,20,oracle_topology,123,26,5.0125,0.0,0.0,15.0,1
complete,16,50,dcf_ieee,123,16,11.195,1.773971533029772,0.0,15.0,1
complete,16,50,dcf_topology,123,32,11.06,2.082402458700047,0.0,15.0,1
complete,16,50,mfg_full_N,123,,15.765,0.9163923832071064,0.0,15.0,1
complete,16,50,mfg_perfect_local,123,,15.765,0.9163923832071064,0.0,15.0,1
complete,16,50,mfg_carrier_sense,123,,13.94,1.4887578715157141,0.0,15.0,1
complete,16,50,oracle_topology,123,32,10.9,0.0,0.0,15.0,1
complete,16,100,dcf_ieee,123,16,15.265,0.9511966147963312,0.0,15.0,1
complete,16,100,dcf_topology,123,32,14.995,1.129147908823286,0.0,15.0,1
complete,16,100,mfg_full_N,123,,16.0,0.0,0.0,15.0,1
complete,16,100,mfg_perfect_local,123,,16.0,0.0,0.0,15.0,1
complete,16,100,mfg_carrier_sense,123,,15.905,0.3255380162131606,0.0,15.0,1
complete,16,100,oracle_topology,123,11,15.2625,0.0,0.0,15.0,1
complete,16,200,dcf_ieee,123,16,15.97,0.19773719933285192,0.0,15.0,1
complete,16,200,dcf_topology,123,32,15.95,0.21794494717703367,0.0,15.0,1
complete,16,200,mfg_full_N,123,,16.0,0.0,0.0,15.0,1
complete,16,200,mfg_perfect_local,123,,16.0,0.0,0.0,15.0,1
complete,16,200,mfg_carrier_sense,123,,16.0,0.0,0.0,15.0,1
complete,16,200,oracle_topology,123,8,15.9875,0.0,0.0,15.0,1
complete,16,500,dcf_ieee,123,16,16.0,0.0,0.0,15.0,1
complete,16,500,dcf_topology,123,32,16.0,0.0,0.0,15.0,1
complete,16,500,mfg_full_N,123,,16.0,0.0,0.0,15.0,1
complete,16,500,mfg_perfect_local,123,,16.0,0.0,0.0,15.0,1
complete,16,500,mfg_carrier_sense,123,,16.0,0.0,0.0,15.0,1
complete,16,500,oracle_topology,123,4,16.0,0.0,0.0,15.0,1
complete,16,20,dcf_ieee,456,16,4.905,1.6112029667301386,0.0,15.0,1
