method,churn,N_visitor,N_native,W_eff,seed,visit,efficiency,util_v,util_n,collision_rate,tau0_mean
cold_nv,0.0,10,0,50,42,28,0.7931034482758621,0.43999999999999995,0.0,0.23241326655800343,0.10000000000000002
cold_nv,0.0,10,0,50,42,29,0.8536585365853658,0.48100000000000004,0.0,0.22452061827061826,0.10000000000000002
cold_nv,0.0,10,0,50,42,30,0.75,0.43600000000000005,0.0,0.2591543179043179,0.10000000000000002
cold_nv,0.0,10,0,50,42,31,0.868421052631579,0.4950000000000001,0.0,0.2440444277944278,0.10000000000000002
cold_nv,0.0,10,0,50,42,32,0.8941176470588236,0.507,0.0,0.242973137973138,0.10000000000000002
cold_nv,0.0,10,0,50,42,33,1.028169014084507,0.46900000000000003,0.0,0.27421814296814295,0.10000000000000002
cold_nv,0.0,10,0,50,42,34,0.8513513513513513,0.40800000000000003,0.0,0.2565614940614941,0.10000000000000002
cold_nv,0.0,10,0,50,42,35,1.0735294117647058,0.49400000000000005,0.0,0.243757215007215,0.10000000000000002
cold_nv,0.0,10,0,50,42,36,0.863013698630137,0.42300000000000004,0.0,0.29428127428127426,0.10000000000000002
cold_nv,0.0,10,0,50,42,37,0.7922077922077922,0.44299999999999995,0.0,0.26683261183261175,0.10000000000000002
cold_nv,0.0,10,0,50,42,38,1.0140845070422535,0.5090000000000001,0.0,0.24840007215007215,0.10000000000000002
cold_nv,0.0,10,0,50,42,39,0.9508196721311475,0.43500000000000005,0.0,0.286969696969697,0.10000000000000002
cold_nv,0.0,10,0,50,42,40,1.1911764705882353,0.5050000000000001,0.0,0.23903124653124652,0.10000000000000002
cold_nv,0.0,10,0,50,42,41,0.7945205479452054,0.44200000000000017,0.0,0.2749837662337663,0.10000000000000002
cold_nv,0.0,10,0,50,42,42,1.013157894736842,0.521,0.0,0.21384532134532136,0.10000000000000002
cold_nv,0.0,10,0,50,42,43,0.8356164383561644,0.4210000000000001,0.0,0.2635514485514486,0.10000000000000002
cold_nv,0.0,10,0,50,42,44,0.7721518987341772,0.376,0.0,0.2789325951825951,0.10000000000000002
cold_nv,0.0,10,0,50,42,45,0.6790123456790124,0.4039999999999999,0.0,0.27402583527583524,0.10000000000000002
cold_nv,0.0,10,0,50,42,46,0.9571428571428572,0.505,0.0,0.2295833333333334,0.10000000000000002
cold_nv,0.0,10,0,50,42,47,0.8717948717948718,0.45100000000000007,0.0,0.2371302308802309,0.10000000000000002
cold_nv,0.0,10,0,50,42,48,1.28125,0.5490000000000002,0.0,0.19706765456765457,0.10000000000000002
cold_nv,0.0,10,0,50,42,49,1.028169014084507,0.49700000000000005,0.0,0.23851065601065596,0.10000000000000002
cold_high,0.0,10,0,50,42,0,0.09375,0.028000000000000004,0.0,0.9219047619047618,0.5
cold_high,0.0,10,0,50,42,1,0.14942528735632185,0.062,0.0,0.8341071428571428,0.5
cold_high,0.0,10,0,50,42,2,0.1527777777777778,0.048,0.0,0.8812500000000002,0.5
cold_high,0.0,10,0,50,42,3,0.038461538461538464,0.011,0.0,0.9230952380952383,0.5
cold_high,0.0,10,0,50,42,4,0.17857142857142858,0.053000000000000005,0.0,0.8933333333333335,0.5
cold_high,0.0,10,0,50,42,5,0.1518987341772152,0.07,0.0,0.8623015873015876,0.5
cold_high,0.0,10,0,50,42,6,0.14084507042253522,0.05499999999999999,0.0,0.8630952380952381,0.5
cold_high,0.0,10,0,50,42,7,0.0273972602739726,0.016,0.0,0.9198809523809522,0.5
