eps_idle,eps_coll,c_idle,c_coll,T,rho
0.05,0.251984,1.0512710963760241,1.2865754519129273,0.7190823412698413,0.11210827291728462
0.062996,0.251984,1.0650225791324688,1.2865754519129273,0.7131597222222222,0.10917209768176223
0.07937,0.251984,1.0826048117555036,1.2865754519129273,0.7180704365079366,0.12865165822758579
0.1,0.251984,1.1051709180756477,1.2865754519129273,0.7159920634920635,0.13994346838108962
0.125992,0.251984,1.1342730940619756,1.2865754519129273,0.7178769841269841,0.17820126585777066
0.15874,0.251984,1.1720331784361693,1.2865754519129273,0.720218253968254,0.21175514476982837
0.2,0.251984,1.2214027581601699,1.2865754519129273,0.720530753968254,0.28185516904288205
0.251984,0.251984,1.2865754519129273,1.2865754519129273,0.720203373015873,0.39328342275454053
0.31748,0.251984,1.3736617713551895,1.2865754519129273,0.7198561507936508,0.5215851381242119
0.4,0.251984,1.4918246976412703,1.2865754519129273,0.7222867063492063,0.7345635348492237
0.503968,0.251984,1.6552763934649535,1.2865754519129273,0.7089484126984127,0.9433405166382133
0.63496,0.251984,1.886946662082677,1.2865754519129273,0.6952281746031747,1.146919904679005
0.8,0.251984,2.225540928492468,1.2865754519129273,0.6732589285714285,1.2690139911146476
0.05,0.31748,1.0512710963760241,1.3736617713551895,0.7179315476190476,0.10243548554254327
0.062996,0.31748,1.0650225791324688,1.3736617713551895,0.7161359126984127,0.10981277662720869
0.07937,0.31748,1.0826048117555036,1.3736617713551895,0.7153869047619048,0.11475364368820291
0.1,0.31748,1.1051709180756477,1.3736617713551895,0.7165476190476191,0.1360829595170848
0.125992,0.31748,1.1342730940619756,1.3736617713551895,0.7168353174603175,0.14168869452094607
0.15874,0.31748,1.1720331784361693,1.3736617713551895,0.7171676587301588,0.19132527787191955
0.2,0.31748,1.2214027581601699,1.3736617713551895,0.7195188492063492,0.26166626452035435
0.251984,0.31748,1.2865754519129273,1.3736617713551895,0.7191964285714286,0.35518311607697084
0.31748,0.31748,1.3736617713551895,1.3736617713551895,0.7177380952380953,0.4824459556587604
0.4,0.31748,1.4918246976412703,1.3736617713551895,0.7188293650793651,0.7060504016119683
0.503968,0.31748,1.6552763934649535,1.3736617713551895,0.7089186507936508,0.8703032508151527
0.63496,0.31748,1.886946662082677,1.3736617713551895,0.6996031746031746,1.1094299489506523
0.8,0.31748,2.225540928492468,1.3736617713551895,0.6737847222222222,1.2628703942282917
0.05,0.4,1.0512710963760241,1.4918246976412703,0.7165228174603174,0.0878221680708337
0.062996,0.4,1.0650225791324688,1.4918246976412703,0.7184920634920635,0.10891417209764719
0.07937,0.4,1.0826048117555036,1.4918246976412703,0.7173065476190477,0.10538763147521939
0.1,0.4,1.1051709180756477,1.4918246976412703,0.7169642857142857,0.12060329320603293
0.125992,0.4,1.1342730940619756,1.4918246976412703,0.7149702380952381,0.11783152256864948
0.15874,0.4,1.1720331784361693,1.4918246976412703,0.7174206349206349,0.19190773825985952
0.2,0.4,1.2214027581601699,1.4918246976412703,0.7172371031746032,0.21689546664822434
0.251984,0.4,1.2865754519129273,1.4918246976412703,0.7247569444444445,0.3202633614170049
0.31748,0.4,1.3736617713551895,1.4918246976412703,0.7185267857142857,0.45005005005005005
0.4,0.4,1.4918246976412703,1.4918246976412703,0.7205109126984127,0.6267322983718289
0.503968,0.4,1.6552763934649535,1.4918246976412703,0.7198462301587302,0.858207978169941
0.63496,0.4,1.886946662082677,1.4918246976412703,0.7006349206349206,1.073657680108745
0.8,0.4,2.225540928492468,1.4918246976412703,0.6802480158730159,1.2618384401114207
0.05,0.503968,1.0512710963760241,1.6552763934649535,0.7160763888888889,0.08888827314856505
0.062996,0.503968,1.0650225791324688,1.6552763934649535,0.7171775793650793,0.0856947220627598
0.07937,0.503968,1.0826048117555036,1.6552763934649535,0.7198561507936508,0.10662679244502939
0.1,0.503968,1.1051709180756477,1.6552763934649535,0.7171924603174603,0.11633214834077989
