access,w_eff,n_vis,n_nat,c_coll,c_idle,T,rho
rts,420,20,10,1.6,1.9027,0.70243,0.90179
rts,420,20,20,1.6,1.9027,0.65227,0.98602
rts,420,20,30,1.6,1.9027,0.58972,1.13694
rts,420,50,5,1.05,1.4616,0.71614,0.80881
rts,420,50,10,1.05,1.4616,0.70083,0.76822
rts,420,50,20,1.05,1.4616,0.66392,0.87216
rts,420,50,30,1.05,1.4616,0.62079,1.05007
rts,420,50,5,1.1,1.5118,0.71039,0.8243
rts,420,50,10,1.1,1.5118,0.69974,0.79816
rts,420,50,20,1.1,1.5118,0.66365,0.86555
rts,420,50,30,1.1,1.5118,0.61826,1.05288
rts,420,50,5,1.2,1.6189,0.70654,0.85024
rts,420,50,10,1.2,1.6189,0.70059,0.8055
rts,420,50,20,1.2,1.6189,0.66451,0.87235
rts,420,50,30,1.2,1.6189,0.61749,1.04619
rts,420,50,5,1.3,1.7364,0.70853,0.85615
rts,420,50,10,1.3,1.7364,0.69696,0.82256
rts,420,50,20,1.3,1.7364,0.6585,0.88911
rts,420,50,30,1.3,1.7364,0.61829,1.04267
rts,420,50,5,1.4,1.8654,0.702,0.87565
rts,420,50,10,1.4,1.8654,0.69096,0.84628
rts,420,50,20,1.4,1.8654,0.65663,0.91585
rts,420,50,30,1.4,1.8654,0.61387,1.05161
rts,420,50,5,1.5,2.0068,0.69724,0.89565
rts,420,50,10,1.5,2.0068,0.68978,0.86773
rts,420,50,20,1.5,2.0068,0.6566,0.92575
rts,420,50,30,1.5,2.0068,0.61472,1.06356
rts,420,50,5,1.6,2.1608,0.69272,0.89879
rts,420,50,10,1.6,2.1608,0.68151,0.87939
rts,420,50,20,1.6,2.1608,0.64953,0.94987
rts,420,50,30,1.6,2.1608,0.60968,1.08423
basic,420,5,5,1.05,1.5764,0.63883,0.94852
basic,420,5,10,1.05,1.5764,0.59638,0.87881
basic,420,5,20,1.05,1.5764,0.45755,0.9234
basic,420,5,30,1.05,1.5764,0.33555,1.09266
basic,420,5,5,1.1,1.5936,0.63882,0.94654
basic,420,5,10,1.1,1.5936,0.59785,0.89119
basic,420,5,20,1.1,1.5936,0.45969,0.88364
basic,420,5,30,1.1,1.5936,0.33319,0.97744
basic,420,5,5,1.2,1.6266,0.63363,0.96457
basic,420,5,10,1.2,1.6266,0.59334,0.88691
basic,420,5,20,1.2,1.6266,0.45271,0.82224
basic,420,5,30,1.2,1.6266,0.33306,0.82204
basic,420,5,5,1.3,1.6577,0.62627,0.97315
basic,420,5,10,1.3,1.6577,0.59369,0.90093
basic,420,5,20,1.3,1.6577,0.45137,0.72773
basic,420,5,30,1.3,1.6577,0.33008,0.71747
basic,420,5,5,1.4,1.6874,0.63028,1.01126
basic,420,5,10,1.4,1.6874,0.59237,0.91843
basic,420,5,20,1.4,1.6874,0.45224,0.67036
basic,420,5,30,1.4,1.6874,0.324,0.6064
basic,420,5,5,1.5,1.7156,0.62094,1.02772
basic,420,5,10,1.5,1.7156,0.59295,0.88347
basic,420,5,20,1.5,1.7156,0.45089,0.66384
basic,420,5,30,1.5,1.7156,0.32359,0.5178
basic,420,5,5,1.6,1.7427,0.60711,1.01488
basic,420,5,10,1.6,1.7427,0.58824,0.90012
basic,420,5,20,1.6,1.7427,0.44874,0.62697
basic,420,5,30,1.6,1.7427,0.32423,0.50556
basic,420,20,5,1.05,1.637,0.5522,0.77558
basic,420,20,10,1.05,1.637,0.54286,0.71571
basic,420,20,20,1.05,1.637,0.44685,0.76267
basic,420,20,30,1.05,1.637,0.34431,0.98487
basic,420,20,5,1.1,1.6741,0.56198,0.78811
basic,420,20,10,1.1,1.6741,0.54184,0.72878
basic,420,20,20,1.1,1.6741,0.4444,0.75724
basic,420,20,30,1.1,1.6741,0.34367,0.94155
basic,420,20,5,1.2,1.7487,0.55192,0.8013
basic,420,20,10,1.2,1.7487,0.53413,0.76121
basic,420,20,20,1.2,1.7487,0.44111,0.78732
basic,420,20,30,1.2,1.7487,0.34194,0.90452
basic,420,20,5,1.3,1.8241,0.53983,0.82788
basic,420,20,10,1.3,1.8241,0.52951,0.77031
basic,420,20,20,1.3,1.8241,0.43506,0.74889
basic,420,20,30,1.3,1.8241,0.33894,0.86036
basic,420,20,5,1.4,1.9006,0.54286,0.83762
basic,420,20,10,1.4,1.9006,0.52052,0.78352
basic,420,20,20,1.4,1.9006,0.43234,0.76797
basic,420,20,30,1.4,1.9006,0.33973,0.83882
basic,420,20,5,1.5,1.9783,0.52348,0.83327
basic,420,20,10,1.5,1.9783,0.52985,0.78928
basic,420,20,20,1.5,1.9783,0.43401,0.76446
basic,420,20,30,1.5,1.9783,0.33785,0.81496
basic,420,20,5,1.6,2.0574,0.51147,0.85866
basic,420,20,10,1.6,2.0574,0.50726,0.79658
basic,420,20,20,1.6,2.0574,0.43001,0.75634
basic,420,20,30,1.6,2.0574,0.33634,0.81462
basic,420,50,5,1.05,1.6112,0.53831,0.79182
basic,420,50,10,1.05,1.6112,0.51985,0.72351
basic,420,50,20,1.05,1.6112,0.43531,0.76601
basic,420,50,30,1.05,1.6112,0.36224,0.89295
basic,420,50,5,1.1,1.6683,0.52061,0.79786
basic,420,50,10,1.1,1.6683,0.50905,0.73264
basic,420,50,20,1.1,1.6683,0.42789,0.75726
basic,420,50,30,1.1,1.6683,0.35649,0.87876
basic,420,50,5,1.2,1.7881,0.50539,0.81191
basic,420,50,10,1.2,1.7881,0.49278,0.74724
basic,420,50,20,1.2,1.7881,0.42017,0.76099
basic,420,50,30,1.2,1.7881,0.34577,0.87933
basic,420,50,5,1.3,1.9156,0.4987,0.81426
basic,420,50,10,1.3,1.9156,0.48246,0.76222
basic,420,50,20,1.3,1.9156,0.41455,0.7605
basic,420,50,30,1.3,1.9156,0.3513,0.87502
basic,420,50,5,1.4,2.0513,0.48258,0.81964
basic,420,50,10,1.4,2.0513,0.47473,0.77668
basic,420,50,20,1.4,2.0513,0.40902,0.76124
basic,420,50,30,1.4,2.0513,0.34695,0.86589
basic,420,50,5,1.5,2.1957,0.46594,0.83704
basic,420,50,10,1.5,2.1957,0.4574,0.77549
basic,420,50,20,1.5,2.1957,0.40035,0.77963
basic,420,50,30,1.5,2.1957,0.34203,0.8853
basic,420,50,5,1.6,2.3488,0.45144,0.83469
basic,420,50,10,1.6,2.3488,0.45299,0.79107
basic,420,50,20,1.6,2.3488,0.39215,0.79077
basic,420,50,30,1.6,2.3488,0.33389,0.88632
