n_vis,n_nat,w_eff,access,alpha,candidate,c_idle,c_coll,seed,visits,A_vis,A_nat,coll_air,idle_slots,oh_air,epochs,n_idle,n_coll,n_solo_vis,n_solo_nat,tau_cv_sum,tau_cv_cnt
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,135,30,581.0,8507.0,1139,435,1938,725,435,96,11,183,1.7346253800054987,639
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,136,30,623.0,8385.0,1243,432,1917,729,432,104,10,183,1.5162916310952321,634
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,137,30,514.0,8473.0,1271,442,1900,741,442,107,7,185,3.593849623257297,661
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,138,30,474.0,8420.0,1319,467,1920,771,467,111,11,182,1.429374442483609,699
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,139,30,355.0,8653.0,1249,431,1912,728,431,105,7,185,1.6821773584146087,637
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,140,30,505.0,8641.0,1072,415,1967,704,415,90,10,189,1.259851145867746,624
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,141,30,920.0,8262.0,1061,417,1940,702,417,90,15,180,2.065180115565804,598
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,142,30,437.0,8668.0,1119,421,1955,711,421,94,9,187,1.19439946896804,638
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,143,30,357.0,8678.0,1203,440,1922,734,440,101,6,187,1.2255980326225138,666
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,144,30,632.0,8508.0,1098,424,1938,710,424,92,9,185,1.4703066693311213,642
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,145,30,823.0,8283.0,1169,432,1893,721,432,99,11,179,1.2143631297105144,636
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,146,30,205.0,8824.0,1228,406,1937,705,406,103,5,191,1.1238735829457727,622
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,147,30,511.0,8507.0,1261,434,1887,730,434,106,8,182,3.6819654557204,660
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,148,30,337.0,8591.0,1325,440,1907,743,440,111,5,187,2.416027701023782,663
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,149,30,672.0,8446.0,1129,437,1916,726,437,97,11,181,2.9856591797469463,621
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,150,30,449.0,8640.0,1179,424,1908,715,424,100,8,183,3.123158666529888,649
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,151,30,620.0,8534.0,1099,410,1937,698,410,93,10,185,1.403495606934314,602
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,152,30,583.0,8575.0,1073,401,1968,688,401,90,12,185,2.645480365910527,608
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,153,30,518.0,8670.0,1078,385,1949,671,385,91,9,186,1.6433188085152486,600
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,154,30,409.0,8403.0,1415,494,1879,803,494,119,6,184,3.566009389061114,710
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,155,30,634.0,8374.0,1238,423,1931,722,423,104,12,183,1.3332522360141734,624
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,156,30,924.0,8235.0,1108,403,1930,694,403,94,17,180,1.2863545269254741,610
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,157,30,499.0,8374.0,1347,465,1915,770,465,113,9,183,2.9583111953159937,685
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,158,30,334.0,8690.0,1196,446,1934,740,446,100,6,188,0.9403488156824908,679
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,159,30,422.0,8742.0,1071,429,1936,715,429,92,8,186,3.5041882084210396,638
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,160,30,569.0,8411.0,1300,457,1863,755,457,110,8,180,3.2735886563815444,674
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,101,30,1527.0,7526.0,1257,408,1882,705,408,108,24,165,41.24223671159035,618
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,102,30,1384.0,7997.0,884,373,1962,647,373,76,24,174,11.354810583477994,577
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,103,30,1456.0,7671.0,1162,408,1903,697,408,97,23,169,13.164159817115566,609
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,104,30,1685.0,7506.0,1116,377,1916,663,377,93,28,165,14.60928119267901,595
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,105,30,902.0,8176.0,1179,413,1930,706,413,100,15,178,18.543548835139052,617
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,106,30,2039.0,6944.0,1328,429,1860,729,429,111,31,158,20.515297204603375,629
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,107,30,1841.0,7296.0,1186,409,1868,700,409,101,31,159,20.933558927624887,622
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,108,30,1721.0,7273.0,1257,419,1930,719,419,105,31,164,32.19422229957615,648
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,109,30,1088.0,7834.0,1362,429,1887,733,429,114,18,172,28.39655506873524,644
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,110,30,1637.0,7336.0,1333,444,1850,742,444,112,25,161,40.19126969877499,655
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,111,30,1648.0,7348.0,1305,431,1868,728,431,109,27,161,18.4145594835206,647
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,112,30,2096.0,7141.0,1091,384,1888,669,384,94,33,158,15.269197989640778,583
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,113,30,1169.0,8027.0,1031,384,1989,672,384,87,19,182,19.169420623394064,582
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,114,30,988.0,7969.0,1306,419,1918,722,419,110,18,175,25.299369372060912,636
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,115,30,1992.0,6861.0,1441,451,1855,761,451,121,34,155,16.661768578751552,667
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,116,30,1112.0,7938.0,1251,396,1903,692,396,105,20,171,29.222665432558475,623
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,117,30,1761.0,7296.0,1235,423,1885,717,423,104,31,159,17.495386695084534,631
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,118,30,1304.0,7619.0,1319,447,1911,752,447,112,28,165,22.131619840860314,667
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,119,30,1088.0,7783.0,1446,457,1826,764,457,123,17,167,31.645200593733218,655
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,120,30,1575.0,7692.0,1019,387,1927,668,387,86,25,170,18.953996389211998,602
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,121,30,1314.0,7828.0,1159,394,1905,686,394,98,22,172,15.484197451144674,600
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,122,30,1504.0,7629.0,1165,398,1904,689,398,98,26,167,18.04569566912453,606
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,123,30,1536.0,7415.0,1362,435,1852,738,435,116,27,160,30.008490860156613,653
10,10,420,rts,0.0,oracle,1.3020005939902721,1.583248897402281,124,30,1548.0,7383.0,1319,436,1914,741,436,112,29,164,32.67150327567431,650
