method,churn,N_visitor,N_native,W_eff,seed,visit,efficiency,util_v,util_n,collision_rate,tau0_mean
warm_high,0.0,10,0,50,42,13,0.5,0.22400000000000003,0.0,0.47071428571428575,0.20786239731779968
warm_high,0.0,10,0,50,42,14,0.6153846153846154,0.196,0.0,0.5628571428571428,0.18374508231033357
warm_high,0.0,10,0,50,42,15,0.6111111111111112,0.336,0.0,0.3897619047619048,0.18736260913870267
warm_high,0.0,10,0,50,42,16,0.6190476190476191,0.32799999999999996,0.0,0.4128571428571428,0.14646740683584825
warm_high,0.0,10,0,50,42,17,0.7368421052631579,0.404,0.0,0.4231746031746032,0.17004023042568467
warm_high,0.0,10,0,50,42,18,0.631578947368421,0.29200000000000004,0.0,0.4838095238095238,0.1577438723758553
warm_high,0.0,10,0,50,42,19,0.6521739130434783,0.44399999999999995,0.0,0.30515873015873013,0.1229160160274289
warm_high,0.0,10,0,50,42,20,0.6842105263157895,0.348,0.0,0.3995382395382395,0.15024094600150234
warm_high,0.0,10,0,50,42,21,0.9444444444444444,0.484,0.0,0.33452380952380956,0.17728674802146144
warm_high,0.0,10,0,50,42,22,1.0,0.4800000000000001,0.0,0.2993650793650794,0.1570001714677641
warm_high,0.0,10,0,50,42,23,0.7619047619047619,0.43600000000000005,0.0,0.3366883116883116,0.15615684874796784
warm_high,0.0,10,0,50,42,24,0.9444444444444444,0.376,0.0,0.32936507936507936,0.15330645695757802
warm_high,0.0,10,0,50,42,25,1.0,0.42000000000000004,0.0,0.36380952380952375,0.14739852244004986
warm_high,0.0,10,0,50,42,26,0.8666666666666667,0.368,0.0,0.35873015873015873,0.14352036252466177
warm_high,0.0,10,0,50,42,27,0.631578947368421,0.372,0.0,0.37833333333333335,0.1446344082240844
warm_high,0.0,10,0,50,42,28,0.6666666666666666,0.42800000000000005,0.0,0.3471428571428571,0.14693452336063065
warm_high,0.0,10,0,50,42,29,0.8095238095238095,0.4600000000000001,0.0,0.292063492063492,0.1555973210543363
dcf_conv,0.0,10,0,50,42,0,1.1176470588235294,0.516,0.0,0.09569327731092436,nan
dcf_conv,0.0,10,0,50,42,1,1.1176470588235294,0.6039999999999999,0.0,0.06329365079365079,nan
dcf_conv,0.0,10,0,50,42,2,0.9333333333333333,0.384,0.0,0.1542061034940292,nan
dcf_conv,0.0,10,0,50,42,3,0.9473684210526315,0.46799999999999997,0.0,0.11001939237233356,nan
dcf_conv,0.0,10,0,50,42,4,1.2857142857142858,0.496,0.0,0.09452380952380952,nan
dcf_conv,0.0,10,0,50,42,5,0.8095238095238095,0.45999999999999996,0.0,0.14009803921568625,nan
dcf_conv,0.0,10,0,50,42,6,0.9047619047619048,0.524,0.0,0.08061050061050061,nan
dcf_conv,0.0,10,0,50,42,7,0.8095238095238095,0.532,0.0,0.08825618825618826,nan
