method,cd,N,W_eff,seed,W_eff_utilization,efficiency,collision_rate,successes
oracle,0,50,50,42,0.4715200000000001,1.1892555555555555,0.2861264361455538,3.304
pnd,0,50,50,42,0.45248,1.161288095238095,0.26781892551892555,3.156
dcf_self_excl,0,50,50,42,0.43352000000000007,1.098976587301587,0.1613647233354731,3.033
and,0,50,50,42,0.0,0.0,1.0,0.0
oracle,1,50,50,123,0.7807200000000002,1.0313726190476191,0.254414978701807,5.315
pnd,1,50,50,123,0.7737600000000001,1.0272154761904762,0.24583167832286118,5.294
dcf_self_excl,1,50,50,123,0.66352,0.8734496031746032,0.1435537429519623,4.492
and,1,50,50,123,0.08703999999999999,0.1840626984126984,0.9712576816488022,0.946
oracle,0,50,50,123,0.468,1.1538904761904762,0.290723105162811,3.264
pnd,0,50,50,123,0.46248,1.1204547619047618,0.26190518370518373,3.215
dcf_self_excl,0,50,50,123,0.4376000000000001,1.0624404761904762,0.15726981392491388,3.012
and,0,50,50,123,0.0,0.0,1.0,0.0
oracle,1,50,50,456,0.7777600000000001,1.0207781746031745,0.2573230934502374,5.382
pnd,1,50,50,456,0.7727200000000003,1.0041083333333332,0.2472936679955365,5.301
dcf_self_excl,1,50,50,456,0.66144,0.8551119047619047,0.14636004165457167,4.508
and,1,50,50,456,0.08688,0.18156349206349204,0.9719960558968515,0.936
oracle,0,50,50,456,0.46832000000000007,1.1641130952380954,0.29617178464810046,3.254
pnd,0,50,50,456,0.44944000000000006,1.1132642857142856,0.2679791625041625,3.122
dcf_self_excl,0,50,50,456,0.42808,1.0724809523809522,0.1621977943610061,2.973
and,0,50,50,456,0.0,0.0,1.0,0.0
oracle,1,50,50,789,0.7830400000000002,1.0262869047619048,0.25697145087237133,5.344
pnd,1,50,50,789,0.76744,1.0068095238095238,0.2522074677705101,5.241
dcf_self_excl,1,50,50,789,0.66224,0.8568845238095237,0.14349577657798068,4.474
and,1,50,50,789,0.09087999999999999,0.1850107142857143,0.9715975250684591,0.952
oracle,0,50,50,789,0.46712000000000004,1.1804642857142857,0.2911096440109598,3.239
pnd,0,50,50,789,0.45064000000000004,1.144804761904762,0.2678247016872017,3.153
dcf_self_excl,0,50,50,789,0.43672000000000005,1.0706285714285715,0.15873373086434062,2.987
and,0,50,50,789,0.0,0.0,1.0,0.0
oracle,1,50,50,1234,0.7881600000000002,1.0344940476190476,0.24859422264220712,5.326
pnd,1,50,50,1234,0.7655200000000002,1.0189829365079366,0.2526530512940393,5.227
dcf_self_excl,1,50,50,1234,0.6648,0.8799734126984127,0.1436702214317588,4.516
and,1,50,50,1234,0.09072,0.19541746031746032,0.9706342022923252,0.992
oracle,0,50,50,1234,0.48672000000000004,1.2028119047619048,0.28253000651309473,3.326
pnd,0,50,50,1234,0.44239999999999996,1.1140690476190476,0.2714735986235986,3.088
dcf_self_excl,0,50,50,1234,0.4416800000000001,1.0980595238095239,0.1568512747142778,3.047
and,0,50,50,1234,0.0,0.0,1.0,0.0
oracle,1,50,100,42,0.8036800000000001,1.0086959932224637,0.26207803812450425,10.46
pnd,1,50,100,42,0.7958000000000001,0.9986554670819375,0.2778025755090907,10.345
dcf_self_excl,1,50,100,42,0.6835600000000001,0.8614388675866618,0.1636261077791945,8.923
and,1,50,100,42,0.20344000000000007,0.30316799295475766,0.9454661850323154,3.138
oracle,0,50,100,42,0.4815200000000001,1.1477863386613387,0.2757760657324907,6.354
pnd,0,50,100,42,0.44676000000000005,1.0757038517038517,0.2851948117645281,5.907
dcf_self_excl,0,50,100,42,0.43100000000000005,1.0215547036297035,0.17008231658787662,5.663
and,0,50,100,42,0.00035999999999999997,0.0018011904761904762,0.9987777777777778,0.009
oracle,1,50,100,123,0.8006400000000001,1.0141616813741814,0.2627503504255169,10.52
pnd,1,50,100,123,0.79472,1.0033733752358753,0.27657938002529786,10.398
dcf_self_excl,1,50,100,123,0.68248,0.8561425713175713,0.16198056008880526,8.872
and,1,50,100,123,0.20160000000000006,0.29090632423132423,0.9470617995821494,3.012
oracle,0,50,100,123,0.4764,1.1028221361971362,0.2784614513196405,6.254
pnd,0,50,100,123,0.45336000000000004,1.0637335886335886,0.2790452276851489,6.03
dcf_self_excl,0,50,100,123,0.4324000000000001,1.0073296398046399,0.1675645539246117,5.676
and,0,50,100,123,0.00044000000000000007,0.002176190476190476,0.9987777777777779,0.011
oracle,1,50,100,456,0.8002,1.0055081224331224,0.26280814936192926,10.513
pnd,1,50,100,456,0.7943600000000001,0.996643505106005,0.2766606670411946,10.413
