access,w_eff,n_vis,coll_cost,succ_oh,eps,T,rho
basic,420,5,-1,-1,0.05,0.63247,0.10887
basic,420,5,-1,-1,0.06385,0.62597,0.11169
basic,420,5,-1,-1,0.08153,0.62962,0.11114
basic,420,5,-1,-1,0.10411,0.63284,0.12103
basic,420,5,-1,-1,0.13294,0.63808,0.15519
basic,420,5,-1,-1,0.16975,0.63493,0.19003
basic,420,5,-1,-1,0.21677,0.63447,0.23784
basic,420,5,-1,-1,0.2768,0.63147,0.31476
basic,420,5,-1,-1,0.35345,0.63336,0.44205
basic,420,5,-1,-1,0.45134,0.6033,0.67928
basic,420,5,-1,-1,0.57633,0.59728,0.93963
basic,420,5,-1,-1,0.73594,0.56291,1.18076
basic,420,5,-1,-1,0.93975,0.52007,1.39322
basic,420,5,-1,-1,1.2,0.44727,1.48979
basic,420,10,-1,-1,0.05,0.63713,0.13382
basic,420,10,-1,-1,0.06385,0.64114,0.14935
basic,420,10,-1,-1,0.08153,0.6354,0.15451
basic,420,10,-1,-1,0.10411,0.63062,0.16798
basic,420,10,-1,-1,0.13294,0.63528,0.18491
basic,420,10,-1,-1,0.16975,0.62984,0.21695
basic,420,10,-1,-1,0.21677,0.61856,0.26772
basic,420,10,-1,-1,0.2768,0.62237,0.34766
basic,420,10,-1,-1,0.35345,0.61215,0.48764
basic,420,10,-1,-1,0.45134,0.59402,0.60688
basic,420,10,-1,-1,0.57633,0.56277,0.76395
basic,420,10,-1,-1,0.73594,0.52684,0.92632
basic,420,10,-1,-1,0.93975,0.49023,1.01863
basic,420,10,-1,-1,1.2,0.44003,1.08402
basic,420,20,-1,-1,0.05,0.62923,0.1939
basic,420,20,-1,-1,0.06385,0.63703,0.19886
basic,420,20,-1,-1,0.08153,0.63806,0.21715
basic,420,20,-1,-1,0.10411,0.62762,0.24544
basic,420,20,-1,-1,0.13294,0.62728,0.27295
basic,420,20,-1,-1,0.16975,0.63462,0.30159
basic,420,20,-1,-1,0.21677,0.62031,0.34609
basic,420,20,-1,-1,0.2768,0.60384,0.4208
basic,420,20,-1,-1,0.35345,0.59236,0.51454
basic,420,20,-1,-1,0.45134,0.57362,0.59288
basic,420,20,-1,-1,0.57633,0.56005,0.70518
basic,420,20,-1,-1,0.73594,0.51541,0.74806
basic,420,20,-1,-1,0.93975,0.47227,0.84572
basic,420,20,-1,-1,1.2,0.43685,0.8994
basic,420,50,-1,-1,0.05,0.62124,0.35314
basic,420,50,-1,-1,0.06385,0.62131,0.36388
basic,420,50,-1,-1,0.08153,0.62932,0.39165
basic,420,50,-1,-1,0.10411,0.61595,0.39924
basic,420,50,-1,-1,0.13294,0.61094,0.42148
basic,420,50,-1,-1,0.16975,0.61528,0.45387
basic,420,50,-1,-1,0.21677,0.59067,0.4893
basic,420,50,-1,-1,0.2768,0.57655,0.55241
basic,420,50,-1,-1,0.35345,0.56281,0.59321
basic,420,50,-1,-1,0.45134,0.53541,0.63474
basic,420,50,-1,-1,0.57633,0.50902,0.68181
basic,420,50,-1,-1,0.73594,0.50333,0.72502
basic,420,50,-1,-1,0.93975,0.46085,0.76901
basic,420,50,-1,-1,1.2,0.42002,0.77072
basic,840,5,-1,-1,0.05,0.64557,0.08449
basic,840,5,-1,-1,0.06385,0.63932,0.09753
basic,840,5,-1,-1,0.08153,0.64437,0.12236
basic,840,5,-1,-1,0.10411,0.64623,0.14814
basic,840,5,-1,-1,0.13294,0.64168,0.22063
basic,840,5,-1,-1,0.16975,0.6377,0.31646
basic,840,5,-1,-1,0.21677,0.62826,0.494
basic,840,5,-1,-1,0.2768,0.6066,0.72074
basic,840,5,-1,-1,0.35345,0.59071,0.96012
basic,840,5,-1,-1,0.45134,0.56199,1.18826
