access,w_eff,n_vis,n_nat,alpha,c0,c_med,c_lo,c_hi,T,rho,J
rts,210,20,5,0.5,2.5,1.7350066542290214,1.5827867801103583,1.8344531423158075,0.7208465608465607,0.7315754948477569,-0.3761742484329834
rts,210,20,5,1.0,1.05,1.9948896727177345,1.7058844417987988,2.172049029120451,0.7144212962962962,0.758448696826972,-0.4127236966579495
rts,210,20,5,1.0,1.2,1.9722251889659952,1.8024132602043745,2.1390674940544963,0.7129265873015873,0.7682258875312625,-0.40789946827252827
rts,210,20,5,1.0,2.5,2.0366890753057225,1.676406314938198,2.3440811810162345,0.7071924603174603,0.7880508327483339,-0.403188183095046
rts,210,20,10,0.25,1.05,1.856130221452983,1.6330775941528932,2.025741111916867,0.7004530423280423,0.6039662340713009,-0.4195916845886517
rts,210,20,10,0.25,1.2,1.8220335610145315,1.584715728242686,2.0810850688994305,0.6991765873015874,0.6011541400249092,-0.4225977362477315
rts,210,20,10,0.25,2.5,1.838828272586235,1.653071324084359,2.0184048712048557,0.7038723544973545,0.6235479330542576,-0.4069320759677173
rts,210,20,10,0.5,1.05,1.8923072647475006,1.5494047693736548,2.368050999513418,0.6957572751322751,0.6586075628839185,-0.44996075550227466
rts,210,20,10,0.5,1.2,2.0370495110800855,1.7782439622022563,2.3099382359351486,0.6944014550264551,0.634625410359961,-0.4680903227545394
rts,210,20,10,0.5,2.5,2.0001485209625773,1.761729540032656,2.236291291868582,0.6903670634920637,0.6406551314022236,-0.46966185421108064
rts,210,20,10,1.0,1.05,2.2620861063676156,2.018458833767768,2.4969038095271268,0.6891038359788361,0.6985869397026144,-0.5010258773885409
rts,210,20,10,1.0,1.2,2.3200878376742518,2.0427530307878596,2.775518562430993,0.6879497354497355,0.7073040991004792,-0.4939594384738487
rts,210,20,10,1.0,2.5,2.3006242855982806,1.8821331107689176,2.607184231500711,0.6834424603174604,0.7393213873603529,-0.4718304355622429
rts,210,20,20,0.25,1.05,2.399526146887571,2.1107910020202434,3.1631044525554994,0.6281613756613756,0.5976118897996804,-0.5312164770652059
rts,210,20,20,0.25,1.2,2.415166869998535,1.8633994689712956,3.0604647023747225,0.6262830687830688,0.6227355561235013,-0.5240349537045446
rts,210,20,20,0.25,2.5,2.5326746798839195,1.9915032257335303,2.9077656090804913,0.6287896825396825,0.6649935977382951,-0.5055699309291443
