access,w_eff,n_vis,n_nat,eps,T,rho,idle,solo_vis,solo_self,coll_vis,coll_txv,coll_self
rts,420,5,10,0.73594,0.69381,1.47751,0.487401,0.113781,0.021076,0.158501,0.066729,0.065951
rts,420,5,10,0.93975,0.66785,1.71388,0.428129,0.132544,0.027081,0.24047,0.119234,0.124365
rts,420,5,10,1.2,0.56909,1.83381,0.334196,0.111902,0.024364,0.404916,0.238278,0.243065
rts,420,5,20,0.05,0.63219,0.19179,0.520831,0.006237,0.001434,0.006486,0.001335,0.00106
rts,420,5,20,0.06385,0.63212,0.20519,0.520222,0.006678,0.001623,0.006866,0.001411,0.001248
rts,420,5,20,0.08153,0.63221,0.21043,0.520402,0.006801,0.001622,0.007237,0.001485,0.001185
rts,420,5,20,0.10411,0.63134,0.21371,0.519496,0.006987,0.001809,0.00836,0.001697,0.001435
rts,420,5,20,0.13294,0.63353,0.23486,0.519126,0.007726,0.001821,0.009673,0.001985,0.001382
rts,420,5,20,0.16975,0.63212,0.25761,0.520232,0.00843,0.002373,0.009866,0.002023,0.001561
rts,420,5,20,0.21677,0.63097,0.33335,0.520411,0.010641,0.002054,0.012259,0.002564,0.002302
rts,420,5,20,0.2768,0.63463,0.38755,0.51717,0.013067,0.002588,0.015276,0.003257,0.003093
rts,420,5,20,0.35345,0.63478,0.49911,0.515593,0.017051,0.004057,0.020221,0.004412,0.004754
rts,420,5,20,0.45134,0.63408,0.68137,0.512417,0.023627,0.00489,0.034424,0.007736,0.008638
rts,420,5,20,0.57633,0.6404,0.9954,0.501743,0.035313,0.007299,0.049977,0.012428,0.01302
rts,420,5,20,0.73594,0.64015,1.48526,0.485159,0.055586,0.012412,0.083648,0.025715,0.025229
rts,420,5,20,0.93975,0.64106,1.95316,0.456057,0.076635,0.015072,0.132253,0.051203,0.048755
rts,420,5,20,1.2,0.59678,2.39609,0.388296,0.09096,0.018376,0.249629,0.130087,0.127924
rts,420,20,0,0.05,0.71988,1.0,0.877773,0.11272,0.006154,0.009507,0.000978,0.000884
rts,420,20,0,0.06385,0.73372,1.0,0.857687,0.12968,0.007404,0.012633,0.001322,0.001631
rts,420,20,0,0.08153,0.73735,1.0,0.836752,0.143153,0.007513,0.020095,0.002118,0.002351
rts,420,20,0,0.10411,0.73979,1.0,0.809007,0.16238,0.008315,0.028613,0.003109,0.003305
rts,420,20,0,0.13294,0.74302,1.0,0.773467,0.183971,0.008512,0.042562,0.004754,0.005443
rts,420,20,0,0.16975,0.74066,1.0,0.739414,0.199911,0.009772,0.060676,0.006863,0.007537
rts,420,20,0,0.21677,0.74083,1.0,0.696852,0.222826,0.011293,0.080322,0.0092,0.009034
rts,420,20,0,0.2768,0.73313,1.0,0.653875,0.235156,0.012842,0.110968,0.012997,0.012993
rts,420,20,0,0.35345,0.72025,1.0,0.605993,0.246264,0.013344,0.147743,0.018162,0.019097
rts,420,20,0,0.45134,0.71837,1.0,0.559579,0.266603,0.013578,0.173818,0.022252,0.023153
rts,420,20,0,0.57633,0.69712,1.0,0.513112,0.262056,0.01144,0.224833,0.030689,0.029127
rts,420,20,0,0.73594,0.68337,1.0,0.459257,0.267086,0.013322,0.273656,0.048462,0.049457
rts,420,20,0,0.93975,0.63954,1.0,0.395305,0.244776,0.012092,0.359918,0.07919,0.085801
rts,420,20,0,1.2,0.56106,1.0,0.303625,0.20101,0.009517,0.495366,0.148759,0.147302
rts,420,20,5,0.05,0.75399,0.22463,0.678992,0.036203,0.00135,0.017877,0.000981,0.001157
rts,420,20,5,0.06385,0.75639,0.25317,0.673757,0.042676,0.002298,0.017793,0.000975,0.00105
rts,420,20,5,0.08153,0.75281,0.29937,0.675184,0.048713,0.002329,0.022901,0.001297,0.001294
rts,420,20,5,0.10411,0.75468,0.33522,0.664178,0.05667,0.002734,0.027335,0.001583,0.001267
rts,420,20,5,0.13294,0.75265,0.39375,0.659653,0.066944,0.002613,0.033036,0.002067,0.002144
rts,420,20,5,0.16975,0.74833,0.4433,0.645273,0.078473,0.003811,0.046349,0.003131,0.002722
rts,420,20,5,0.21677,0.74922,0.52827,0.63019,0.094857,0.004456,0.05857,0.00406,0.004173
rts,420,20,5,0.2768,0.74825,0.62083,0.608313,0.117225,0.005843,0.075586,0.006139,0.006287
rts,420,20,5,0.35345,0.73819,0.71044,0.581267,0.137058,0.005141,0.10697,0.00945,0.008996
rts,420,20,5,0.45134,0.73134,0.79461,0.556699,0.153929,0.007116,0.13142,0.01286,0.012531
rts,420,20,5,0.57633,0.7221,0.86885,0.525607,0.171008,0.007567,0.165432,0.018216,0.018399
rts,420,20,5,0.73594,0.7023,0.92998,0.491125,0.176948,0.008517,0.21038,0.028855,0.029213
rts,420,20,5,0.93975,0.67624,0.96031,0.452651,0.176734,0.008573,0.263804,0.052423,0.055687
rts,420,20,5,1.2,0.59769,0.9844,0.370037,0.14674,0.00696,0.397216,0.12737,0.126667
rts,420,20,10,0.05,0.72104,0.19768,0.587019,0.028007,0.000917,0.018907,0.001016,0.001199
rts,420,20,10,0.06385,0.72256,0.20941,0.584295,0.029785,0.001283,0.021875,0.001201,0.00171
rts,420,20,10,0.08153,0.72372,0.22075,0.583733,0.032032,0.001147,0.023862,0.00129,0.001433
rts,420,20,10,0.10411,0.72369,0.25625,0.581462,0.036845,0.001655,0.026195,0.001421,0.002519
rts,420,20,10,0.13294,0.72366,0.29358,0.576026,0.043226,0.002034,0.032183,0.00178,0.001889
