init,N,W_eff,seed,efficiency,W_eff_utilization,collision_rate,oracle_successes
rand_u01,10,100,1234,0.5782250000000001,0.41226999999999997,0.790022901054737,9.864
rand_u2N,10,100,1234,0.9899305555555555,0.73297,0.23129713695852855,9.864
high,10,100,1234,0.9461055555555556,0.6972200000000001,0.49258251064553177,9.864
low,10,100,1234,0.9543472222222223,0.70329,0.07836384761750474,9.864
oracle,10,200,42,1.0,0.37609499999999996,nan,10.0
optimal,10,200,42,1.0,0.37609499999999996,0.1867736107357536,10.0
rand_u01,10,200,42,0.7805,0.288965,0.7533448672595332,10.0
rand_u2N,10,200,42,0.9999,0.37603499999999995,0.22490276154566619,10.0
high,10,200,42,1.0,0.37609499999999996,0.47489442550531974,10.0
low,10,200,42,1.0,0.37609499999999996,0.06925996022376069,10.0
oracle,10,200,123,1.0,0.37604499999999996,nan,10.0
optimal,10,200,123,1.0,0.37604499999999996,0.1923307112145194,10.0
rand_u01,10,200,123,0.7674,0.28435000000000005,0.7628585625549015,10.0
rand_u2N,10,200,123,1.0,0.37604499999999996,0.22575334843518632,10.0
high,10,200,123,0.9997999999999999,0.37594,0.4753755605504095,10.0
low,10,200,123,1.0,0.37604499999999996,0.0707595646885852,10.0
oracle,10,200,456,1.0,0.37306999999999996,nan,10.0
optimal,10,200,456,1.0,0.37306999999999996,0.19082490138418534,10.0
rand_u01,10,200,456,0.7937000000000001,0.292035,0.7488584426333053,10.0
rand_u2N,10,200,456,0.9996,0.373005,0.22376842913656303,10.0
high,10,200,456,1.0,0.37306999999999996,0.4757702195339167,10.0
low,10,200,456,1.0,0.37306999999999996,0.06791903023202824,10.0
oracle,10,200,789,1.0,0.373755,nan,10.0
optimal,10,200,789,1.0,0.373755,0.19108169363562424,10.0
rand_u01,10,200,789,0.7790999999999999,0.2857,0.7521327217620701,10.0
rand_u2N,10,200,789,1.0,0.373755,0.2232174999148332,10.0
high,10,200,789,1.0,0.373755,0.4779561901288896,10.0
low,10,200,789,1.0,0.373755,0.0696046061432852,10.0
oracle,10,200,1234,1.0,0.377005,nan,10.0
optimal,10,200,1234,1.0,0.377005,0.19205272737526002,10.0
rand_u01,10,200,1234,0.7712,0.2868,0.7599126226880226,10.0
rand_u2N,10,200,1234,0.9999,0.37695,0.22711907468798226,10.0
high,10,200,1234,1.0,0.377005,0.4733045441059967,10.0
low,10,200,1234,1.0,0.377005,0.06622857516815113,10.0
oracle,20,20,42,1.072,0.7661999999999999,nan,2.436
optimal,20,20,42,0.9638,0.71485,0.17202380952380952,2.436
rand_u01,20,20,42,0.45026666666666665,0.23645,0.9012484402852051,2.436
rand_u2N,20,20,42,0.9814499999999999,0.7171000000000001,0.19968775113775114,2.436
high,20,20,42,0.5373499999999999,0.32585000000000003,0.8442315401102166,2.436
low,20,20,42,0.9498333333333333,0.7155,0.1709301992941699,2.436
oracle,20,20,123,1.09175,0.7646,nan,2.431
optimal,20,20,123,0.9511666666666666,0.7182999999999999,0.1741883977133977,2.431
rand_u01,20,20,123,0.45683333333333326,0.23704999999999998,0.9006065933249757,2.431
rand_u2N,20,20,123,0.9658333333333332,0.7173999999999999,0.2061053737928738,2.431
high,20,20,123,0.5445,0.33255,0.8466049281600754,2.431
low,20,20,123,0.9539166666666665,0.70375,0.18113689921189918,2.431
oracle,20,20,456,1.0958333333333334,0.76275,nan,2.454
optimal,20,20,456,0.95575,0.7106,0.17250219935293465,2.454
rand_u01,20,20,456,0.4495833333333333,0.23285,0.9037625130588367,2.454
rand_u2N,20,20,456,0.9859166666666667,0.72535,0.2060123529248529,2.454
