init,N,W_eff,seed,efficiency,W_eff_utilization,collision_rate,oracle_successes
low,30,50,456,0.9497583333333334,0.7646799999999999,0.171659727603078,5.783
oracle,30,50,789,1.0444777777777778,0.7936200000000001,nan,5.656
optimal,30,50,789,0.9783611111111111,0.7668400000000001,0.24776222795497063,5.656
rand_u01,30,50,789,0.27296230158730156,0.19110000000000002,0.9466934519933689,5.656
rand_u2N,30,50,789,0.9682964285714286,0.76012,0.2813899537701406,5.656
high,30,50,789,0.6757357142857142,0.52066,0.7508484645286261,5.656
low,30,50,789,0.9762007936507937,0.76442,0.17025245233503777,5.656
oracle,30,50,1234,1.017774603174603,0.79706,nan,5.73
optimal,30,50,1234,0.9578742063492064,0.7717200000000001,0.24269462281097579,5.73
rand_u01,30,50,1234,0.2729420634920635,0.19260000000000002,0.9428621448424269,5.73
rand_u2N,30,50,1234,0.9600277777777778,0.7602599999999999,0.28406221557063105,5.73
high,30,50,1234,0.6607095238095237,0.5119400000000001,0.7519857443612313,5.73
low,30,50,1234,0.9497940476190476,0.76042,0.17457842168706794,5.73
oracle,30,100,42,1.0092787296037296,0.80706,nan,11.122
optimal,30,100,42,0.9751720737595738,0.78987,0.268578782659672,11.122
rand_u01,30,100,42,0.298790694028194,0.22659,0.911340214654004,11.122
rand_u2N,30,100,42,0.9695203796203796,0.78059,0.29621776177837555,11.122
high,30,100,42,0.81571438006438,0.6542899999999999,0.6053402238005605,11.122
low,30,100,42,0.9575584568209569,0.77124,0.17879384558060418,11.122
oracle,30,100,123,1.0146882228882228,0.81024,nan,11.109
optimal,30,100,123,0.9703116799866799,0.7886599999999999,0.27303950085169026,11.109
rand_u01,30,100,123,0.30514356476856475,0.23367000000000002,0.9099333900030668,11.109
rand_u2N,30,100,123,0.9661510128760128,0.78249,0.2964407148820145,11.109
high,30,100,123,0.813132733932734,0.65565,0.6046966197175285,11.109
low,30,100,123,0.9526084332334331,0.7741500000000001,0.1765412601839273,11.109
oracle,30,100,456,1.0084523643023644,0.8073699999999999,nan,11.197
optimal,30,100,456,0.975069338994339,0.78895,0.2684725801413686,11.197
rand_u01,30,100,456,0.2998550088800089,0.22842,0.9120559400669058,11.197
rand_u2N,30,100,456,0.9676039155289156,0.77973,0.29269071817900844,11.197
high,30,100,456,0.8097040098790098,0.6470699999999999,0.6043874277543764,11.197
low,30,100,456,0.9545913974913975,0.77411,0.1776614657768759,11.197
oracle,30,100,789,1.01320357004107,0.8058500000000001,nan,11.123
optimal,30,100,789,0.9806547216672216,0.7856899999999999,0.2736589334001206,11.123
rand_u01,30,100,789,0.2867520132645133,0.21618,0.9187810258647456,11.123
rand_u2N,30,100,789,0.9730417235542236,0.78336,0.29085138126971694,11.123
high,30,100,789,0.824355142080142,0.6598200000000001,0.6006866139008399,11.123
low,30,100,789,0.9587031648906648,0.7718400000000001,0.17847298525021094,11.123
oracle,30,100,1234,1.0095771547896548,0.81026,nan,11.166
optimal,30,100,1234,0.9694801615051615,0.7888099999999999,0.2678760851189402,11.166
rand_u01,30,100,1234,0.29156984126984126,0.22132999999999997,0.9155804360591341,11.166
rand_u2N,30,100,1234,0.9677528929403929,0.78374,0.2920728636521412,11.166
high,30,100,1234,0.818029963092463,0.65521,0.6052908682345409,11.166
low,30,100,1234,0.9514839840714839,0.76964,0.17737005630521457,11.166
oracle,30,200,42,1.0038797805615525,0.814585,nan,22.036
optimal,30,200,42,0.9814971929865238,0.7995399999999999,0.276333328714239,22.036
rand_u01,30,200,42,0.3540287635089264,0.28336500000000003,0.8543226120855529,22.036
rand_u2N,30,200,42,0.9748036815389503,0.794465,0.2905296014285234,22.036
high,30,200,42,0.897055978910779,0.7316600000000001,0.4762047562042162,22.036
low,30,200,42,0.9549507934828482,0.779645,0.2082010425082808,22.036
oracle,30,200,123,1.0038628528835074,0.817085,nan,22.036
optimal,30,200,123,0.9755165375770787,0.798575,0.27891430491603897,22.036
rand_u01,30,200,123,0.3739278967375161,0.299745,0.8466763401655817,22.036
rand_u2N,30,200,123,0.973643904494211,0.797595,0.28989924830840436,22.036
high,30,200,123,0.8979072524005237,0.734685,0.4744382660522695,22.036
low,30,200,123,0.9547348694827306,0.7826100000000001,0.20566452199936097,22.036
oracle,30,200,456,1.0037233319978407,0.81545,nan,22.163
optimal,30,200,456,0.9767371329876109,0.7988200000000001,0.27593787571956324,22.163
rand_u01,30,200,456,0.3598793548332834,0.286275,0.8533348081906441,22.163
rand_u2N,30,200,456,0.975178731929617,0.7955599999999999,0.28795018339937317,22.163
high,30,200,456,0.8935526869453764,0.7282799999999999,0.4774504070162234,22.163
low,30,200,456,0.9536763551547439,0.7784350000000001,0.20850431039059514,22.163
oracle,30,200,789,1.001700770601374,0.8150850000000001,nan,22.131
optimal,30,200,789,0.9780116988536607,0.79955,0.2767144304920308,22.131
rand_u01,30,200,789,0.3388932703225044,0.26970500000000003,0.8648000672336068,22.131
rand_u2N,30,200,789,0.9737341014817432,0.7956300000000001,0.2883015095905,22.131
high,30,200,789,0.8994463617933345,0.735935,0.47250848958819586,22.131
low,30,200,789,0.9547603502232799,0.779085,0.2081396494105826,22.131
oracle,30,200,1234,1.0028880357052141,0.81587,nan,22.112
optimal,30,200,1234,0.9776421556991779,0.7992049999999999,0.2765283522585022,22.112
rand_u01,30,200,1234,0.3451459889342406,0.27526,0.8610558027014542,22.112
rand_u2N,30,200,1234,0.9731574781188386,0.7955249999999999,0.2906415950930069,22.112
high,30,200,1234,0.8958986787022432,0.73168,0.47448080134980275,22.112
low,30,200,1234,0.9496300238740368,0.7795449999999999,0.20852574462428533,22.112
oracle,50,20,42,1.0952999999999997,0.7515999999999999,nan,2.414
optimal,50,20,42,0.9907999999999999,0.7145,0.17591360453272217,2.414
rand_u01,50,20,42,0.30926666666666663,0.12315,0.9379135638870935,2.414
rand_u2N,50,20,42,0.9785833333333332,0.70875,0.20787561882561884,2.414
high,50,20,42,0.41938333333333333,0.20159999999999997,0.896028968662057,2.414
low,50,20,42,0.93585,0.6780499999999999,0.42665401542901543,2.414
