c_coll,c_idle,N,W_eff,seed,efficiency
3.0,5.0,10,200,789,0.527
-1.0,-1.0,10,200,1234,1.0
1.0,1.2,10,200,1234,1.0
1.0,1.5,10,200,1234,0.9489999999999993
1.0,2.0,10,200,1234,0.7451999999999984
1.0,3.0,10,200,1234,0.4763000000000009
1.0,5.0,10,200,1234,0.5003000000000003
1.2,1.2,10,200,1234,1.0
1.2,1.5,10,200,1234,0.9904999999999992
1.2,2.0,10,200,1234,0.9096999999999977
1.2,3.0,10,200,1234,0.7256999999999995
1.2,5.0,10,200,1234,0.44470000000000004
1.5,1.2,10,200,1234,1.0
1.5,1.5,10,200,1234,0.9839999999999993
1.5,2.0,10,200,1234,0.8853999999999985
1.5,3.0,10,200,1234,0.7072999999999989
1.5,5.0,10,200,1234,0.4345000000000001
2.0,1.2,10,200,1234,0.9989
2.0,1.5,10,200,1234,0.9774999999999996
2.0,2.0,10,200,1234,0.8977999999999992
2.0,3.0,10,200,1234,0.7202999999999994
2.0,5.0,10,200,1234,0.4240000000000001
3.0,1.2,10,200,1234,0.9996999999999999
3.0,1.5,10,200,1234,0.9558999999999996
3.0,2.0,10,200,1234,0.8128999999999985
3.0,3.0,10,200,1234,0.8735999999999992
3.0,5.0,10,200,1234,0.5126999999999999
-1.0,-1.0,20,20,42,1.0
1.0,1.2,20,20,42,0.9598499999999976
1.0,1.5,20,20,42,0.9649166666666652
1.0,2.0,20,20,42,0.956883333333332
1.0,3.0,20,20,42,0.8617999999999992
1.0,5.0,20,20,42,0.7247000000000003
1.2,1.2,20,20,42,0.9483333333333311
1.2,1.5,20,20,42,0.9674499999999976
1.2,2.0,20,20,42,0.9599999999999982
1.2,3.0,20,20,42,0.9175166666666652
1.2,5.0,20,20,42,0.8251833333333326
1.5,1.2,20,20,42,0.9338333333333309
1.5,1.5,20,20,42,0.9741333333333309
1.5,2.0,20,20,42,0.9601666666666647
1.5,3.0,20,20,42,0.909249999999998
1.5,5.0,20,20,42,0.857666666666666
2.0,1.2,20,20,42,0.9280333333333312
2.0,1.5,20,20,42,0.9528333333333309
2.0,2.0,20,20,42,0.9731333333333311
2.0,3.0,20,20,42,0.955266666666664
2.0,5.0,20,20,42,0.8912166666666648
3.0,1.2,20,20,42,0.8803833333333313
3.0,1.5,20,20,42,0.9167999999999976
3.0,2.0,20,20,42,0.9596333333333306
3.0,3.0,20,20,42,0.9398833333333313
3.0,5.0,20,20,42,0.8735833333333318
-1.0,-1.0,20,20,123,1.0
1.0,1.2,20,20,123,0.9744166666666642
1.0,1.5,20,20,123,0.9635833333333307
1.0,2.0,20,20,123,0.9324166666666651
1.0,3.0,20,20,123,0.8708333333333311
1.0,5.0,20,20,123,0.7238333333333329
1.2,1.2,20,20,123,0.9490833333333307
1.2,1.5,20,20,123,0.9876666666666635
1.2,2.0,20,20,123,0.9589166666666641
1.2,3.0,20,20,123,0.9119999999999977
1.2,5.0,20,20,123,0.814249999999999
1.5,1.2,20,20,123,0.932333333333331
1.5,1.5,20,20,123,0.9679166666666641
1.5,2.0,20,20,123,0.9594999999999981
1.5,3.0,20,20,123,0.941916666666664
1.5,5.0,20,20,123,0.8577499999999992
2.0,1.2,20,20,123,0.9062499999999988
2.0,1.5,20,20,123,0.9596666666666644
2.0,2.0,20,20,123,0.9568333333333311
2.0,3.0,20,20,123,0.9409166666666644
2.0,5.0,20,20,123,0.8853333333333319
3.0,1.2,20,20,123,0.8909166666666652
3.0,1.5,20,20,123,0.9494999999999982
