obss_duration,weff,num_stas,npca_qsrc,seed,aggregate_throughput,collision_probability_npca,npca_transition_count
500,480,20,4,123,110,0.14035087719298245,60
500,480,20,4,456,115,0.0898876404494382,100
500,480,20,5,42,116,0.0,60
500,480,20,5,123,90,0.0,100
500,480,20,5,456,97,0.0,80
500,480,30,0,42,118,0.7880794701986755,90
500,480,30,0,123,107,0.8009259259259259,60
500,480,30,0,456,126,0.7442748091603053,90
500,480,30,1,42,127,0.6162790697674418,90
500,480,30,1,123,116,0.6423357664233577,90
500,480,30,1,456,109,0.6317829457364341,150
500,480,30,2,42,109,0.37815126050420167,120
500,480,30,2,123,113,0.4634146341463415,90
500,480,30,2,456,132,0.453781512605042,180
500,480,30,3,42,109,0.17857142857142858,90
500,480,30,3,123,124,0.30833333333333335,120
500,480,30,3,456,128,0.3017241379310345,120
500,480,30,4,42,113,0.11538461538461539,90
500,480,30,4,123,109,0.10204081632653061,150
500,480,30,4,456,107,0.13095238095238096,120
500,480,30,5,42,107,0.05555555555555555,90
500,480,30,5,123,103,0.028169014084507043,150
500,480,30,5,456,110,0.03636363636363636,120
500,480,50,0,42,116,0.8879003558718861,150
500,480,50,0,123,114,0.8867924528301887,200
500,480,50,0,456,118,0.8900523560209425,200
500,480,50,1,42,112,0.8143236074270557,200
500,480,50,1,123,115,0.7850162866449512,150
500,480,50,1,456,112,0.8092485549132948,150
500,480,50,2,42,125,0.6615384615384615,150
500,480,50,2,123,111,0.6490566037735849,250
500,480,50,2,456,116,0.6086956521739131,150
500,480,50,3,42,124,0.35772357723577236,200
500,480,50,3,123,100,0.3916083916083916,200
500,480,50,3,456,109,0.3384615384615385,200
500,480,50,4,42,114,0.1839080459770115,200
500,480,50,4,123,115,0.08888888888888889,100
500,480,50,4,456,106,0.1702127659574468,200
500,480,50,5,42,110,0.04081632653061224,150
500,480,50,5,123,98,0.14432989690721648,250
500,480,50,5,456,106,0.10666666666666667,200
