method,ppdu_dist,N,W_eff,seed,visit,successes,oracle_successes,efficiency,viable_slots_wasted,collision_rate,tau_rmse,false_trigger_rate
consec_L4,homo,5,50,789,1000,2.517,2.756,0.9396666666666623,4.289,0.10141849562975755,0.13855069308673906,0.2486728791719117
dcf_self_excl,homo,5,50,789,1000,2.4,2.756,0.8966666666666623,4.433,0.16940092540328613,0.0,0.0
oracle,homo,5,50,1234,1000,2.733,2.717,1.04183333333333,2.079,0.22585603636559473,0.0,0.0
mfg_no_excl,homo,5,50,1234,1000,2.721,2.717,1.0356666666666632,2.086,0.2224892701252992,0.0,0.0
self_excl_only,homo,5,50,1234,1000,2.74,2.717,1.040666666666664,1.958,0.2326854408749142,0.0,0.0
ema_fixed_low,homo,5,50,1234,1000,2.535,2.717,0.965666666666662,4.09,0.10276328453538223,0.13696355542385663,1.0227927074946028
ema_fixed_high,homo,5,50,1234,1000,2.561,2.717,0.9744999999999963,3.513,0.12406089224672842,0.13380054916846262,1.5834407681972291
ema_adaptive,homo,5,50,1234,1000,2.514,2.717,0.9589999999999955,4.233,0.10424733248347819,0.13764249491534888,1.0134711486312102
ema_ad_low,homo,5,50,1234,1000,2.663,2.717,1.01283333333333,2.964,0.15207980801877857,0.11237168657931641,0.5846664804150099
ema_ad_med,homo,5,50,1234,1000,2.584,2.717,0.9834999999999955,3.453,0.13413698461840906,0.12066032744263228,0.7706062077714171
ema_no_coll,homo,5,50,1234,1000,2.681,2.717,1.0189999999999966,2.734,0.17116851465527916,0.1056921400377109,0.5188990453990452
consec_L2,homo,5,50,1234,1000,2.568,2.717,0.976499999999996,3.749,0.11825520785114466,0.1322515102027795,0.7972042406939471
consec_L4,homo,5,50,1234,1000,2.498,2.717,0.9494999999999956,4.287,0.10501508039174466,0.13921753921397154,0.23812288516007568
dcf_self_excl,homo,5,50,1234,1000,2.399,2.717,0.9146666666666623,4.402,0.1727576063556326,0.0,0.0
oracle,homo,5,100,42,1000,5.0,5.0,1.0,2.715,0.20137100792149967,0.0,0.0
mfg_no_excl,homo,5,100,42,1000,5.0,5.0,1.0,2.665,0.20410966020993157,0.0,0.0
self_excl_only,homo,5,100,42,1000,5.0,5.0,1.0,2.648,0.2138378934164285,0.0,0.0
ema_fixed_low,homo,5,100,42,1000,4.952,5.0,0.9903999999999994,11.942,0.053398081604185,0.3430796198615742,1.0412338379571378
ema_fixed_high,homo,5,100,42,1000,4.99,5.0,0.9979999999999998,9.295,0.07411354529140342,0.3102428177564442,1.3161005890922288
ema_adaptive,homo,5,100,42,1000,4.947,5.0,0.9893999999999991,12.261,0.051615617847832335,0.33872418703969,1.0740331204493005
ema_ad_low,homo,5,100,42,1000,4.993,5.0,0.9985999999999999,8.74,0.08083834377320143,0.3223575625174693,0.6943976828627261
ema_ad_med,homo,5,100,42,1000,4.987,5.0,0.9973999999999998,9.96,0.06963123691546506,0.330676622371484,0.8466026703269485
ema_no_coll,homo,5,100,42,1000,4.999,5.0,0.9997999999999999,8.013,0.09688332286314258,0.3150011924596967,0.5953946808356209
consec_L2,homo,5,100,42,1000,4.984,5.0,0.9967999999999996,9.219,0.07275970952461913,0.3040734997956341,0.776059890874489
consec_L4,homo,5,100,42,1000,4.953,5.0,0.9905999999999991,11.599,0.053686400686204866,0.3378413392072324,0.3633802342724653
dcf_self_excl,homo,5,100,42,1000,4.86,5.0,0.9719999999999976,13.703,0.08796227047068823,0.0,0.0
oracle,homo,5,100,123,1000,4.998,5.0,0.9995999999999999,2.635,0.21312401253862887,0.0,0.0
mfg_no_excl,homo,5,100,123,1000,5.0,5.0,1.0,2.674,0.21060713154328264,0.0,0.0
self_excl_only,homo,5,100,123,1000,5.0,5.0,1.0,2.814,0.2080802612989784,0.0,0.0
ema_fixed_low,homo,5,100,123,1000,4.951,5.0,0.9901999999999994,12.386,0.05602219697482048,0.33861747940194437,1.0924680468482795
ema_fixed_high,homo,5,100,123,1000,4.994,5.0,0.9987999999999997,9.402,0.07359043794101748,0.3108676908001219,1.3338833052922217
ema_adaptive,homo,5,100,123,1000,4.945,5.0,0.9889999999999992,12.202,0.05497567695917819,0.34454061717648504,1.0583889517829097
ema_ad_low,homo,5,100,123,1000,4.997,5.0,0.9994000000000001,9.098,0.0810269822808564,0.3242641168786076,0.7349046779365442
ema_ad_med,homo,5,100,123,1000,4.988,5.0,0.9975999999999999,9.94,0.06714677003474527,0.3422513702923361,0.7740975948530899
ema_no_coll,homo,5,100,123,1000,4.998,5.0,0.9995999999999999,8.246,0.09922854486889873,0.31300811450786153,0.6234163570140057
consec_L2,homo,5,100,123,1000,4.987,5.0,0.9973999999999998,8.971,0.07434244754593536,0.3034970766256742,0.7504248746774791
consec_L4,homo,5,100,123,1000,4.94,5.0,0.9879999999999994,11.867,0.05353385268847776,0.33707528177154,0.35463468886191496
dcf_self_excl,homo,5,100,123,1000,4.82,5.0,0.9639999999999979,14.21,0.08937507390359821,0.0,0.0
oracle,homo,5,100,456,1000,5.0,5.0,1.0,2.723,0.20710514184388076,0.0,0.0
mfg_no_excl,homo,5,100,456,1000,5.0,5.0,1.0,2.598,0.2077796263291235,0.0,0.0
self_excl_only,homo,5,100,456,1000,5.0,5.0,1.0,2.685,0.20951170561894294,0.0,0.0
ema_fixed_low,homo,5,100,456,1000,4.953,5.0,0.9905999999999989,12.22,0.05362221186628555,0.3473106470095762,1.0302426288649003
ema_fixed_high,homo,5,100,456,1000,4.987,5.0,0.9973999999999997,9.415,0.07314163848117186,0.30647471482092586,1.3475142444469275
ema_adaptive,homo,5,100,456,1000,4.947,5.0,0.9893999999999993,12.012,0.054078819761398486,0.3371235018569917,1.043106354846474
ema_ad_low,homo,5,100,456,1000,4.995,5.0,0.999,8.897,0.08231882061731256,0.32800980783462175,0.6751315933528238
ema_ad_med,homo,5,100,456,1000,4.993,5.0,0.9985999999999999,9.954,0.06516661678998859,0.33702971471339016,0.8026916979736511
ema_no_coll,homo,5,100,456,1000,5.0,5.0,1.0,8.058,0.09809130764812121,0.3147776084654873,0.613319487542465
consec_L2,homo,5,100,456,1000,4.991,5.0,0.9981999999999999,9.178,0.0744126945374019,0.30730721835720903,0.7695825490759691
consec_L4,homo,5,100,456,1000,4.936,5.0,0.9871999999999986,12.056,0.05250400321294136,0.3374496840160432,0.3676505768827091
dcf_self_excl,homo,5,100,456,1000,4.838,5.0,0.9675999999999978,13.77,0.08809927703346163,0.0,0.0
oracle,homo,5,100,789,1000,5.0,5.0,1.0,2.781,0.20219053712373666,0.0,0.0
mfg_no_excl,homo,5,100,789,1000,5.0,5.0,1.0,2.631,0.21244438405517005,0.0,0.0
self_excl_only,homo,5,100,789,1000,4.999,5.0,0.9997999999999999,2.572,0.2051442327848343,0.0,0.0
ema_fixed_low,homo,5,100,789,1000,4.939,5.0,0.9877999999999989,12.382,0.053770534111735574,0.3439540082887182,1.0596087333359592
ema_fixed_high,homo,5,100,789,1000,4.99,5.0,0.9979999999999999,9.414,0.07214090294087439,0.30811878956213584,1.3342043185960866
ema_adaptive,homo,5,100,789,1000,4.956,5.0,0.9911999999999994,12.201,0.05033960226499868,0.347245708853522,1.023899706886182
ema_ad_low,homo,5,100,789,1000,4.997,5.0,0.9993999999999998,8.66,0.08750552984127223,0.3197407355089588,0.7000615742729623
ema_ad_med,homo,5,100,789,1000,4.983,5.0,0.9965999999999997,10.21,0.06886019434442289,0.33467948377771123,0.8238009661264979
ema_no_coll,homo,5,100,789,1000,4.999,5.0,0.9997999999999999,8.285,0.0956055126783426,0.3146455430625598,0.64345251074333
consec_L2,homo,5,100,789,1000,4.979,5.0,0.9957999999999996,9.268,0.07439829204590465,0.3027734143095891,0.7865033173948768
consec_L4,homo,5,100,789,1000,4.954,5.0,0.9907999999999991,11.686,0.053142581948744175,0.33375505118358223,0.3664540023211681
dcf_self_excl,homo,5,100,789,1000,4.83,5.0,0.9659999999999981,13.973,0.08665239131564613,0.0,0.0
oracle,homo,5,100,1234,1000,5.0,5.0,1.0,2.766,0.207008609963707,0.0,0.0
mfg_no_excl,homo,5,100,1234,1000,5.0,5.0,1.0,2.756,0.20414603908303633,0.0,0.0
self_excl_only,homo,5,100,1234,1000,5.0,5.0,1.0,2.641,0.20960389128932216,0.0,0.0
ema_fixed_low,homo,5,100,1234,1000,4.944,5.0,0.9887999999999989,12.138,0.05150956139169413,0.34213748019983187,1.0503714203060013
ema_fixed_high,homo,5,100,1234,1000,4.993,5.0,0.9985999999999999,9.394,0.07085891122778654,0.3161285147501517,1.2762425992106814
ema_adaptive,homo,5,100,1234,1000,4.954,5.0,0.9907999999999992,12.519,0.05312359993483021,0.3438259465771793,1.0761760008558994
ema_ad_low,homo,5,100,1234,1000,4.993,5.0,0.9985999999999999,8.758,0.08493001750555554,0.32025313040426867,0.7054206139661632
ema_ad_med,homo,5,100,1234,1000,4.98,5.0,0.9959999999999998,10.458,0.07010921428840512,0.3292389555782128,0.88046054096793
ema_no_coll,homo,5,100,1234,1000,4.996,5.0,0.9992,8.048,0.10088625073379069,0.31097503937880117,0.6151978325822112
consec_L2,homo,5,100,1234,1000,4.99,5.0,0.9979999999999999,9.137,0.0732089222478819,0.3033538823366136,0.7660348521955198
consec_L4,homo,5,100,1234,1000,4.943,5.0,0.9885999999999991,11.963,0.054956702264857785,0.3338612276161995,0.37166239750279806
dcf_self_excl,homo,5,100,1234,1000,4.853,5.0,0.9705999999999979,13.653,0.0880759704227558,0.0,0.0
oracle,homo,5,200,42,1000,5.0,5.0,1.0,2.715,0.20137100792149967,0.0,0.0
mfg_no_excl,homo,5,200,42,1000,5.0,5.0,1.0,2.665,0.20410966020993157,0.0,0.0
self_excl_only,homo,5,200,42,1000,5.0,5.0,1.0,2.648,0.2138378934164285,0.0,0.0
ema_fixed_low,homo,5,200,42,1000,5.0,5.0,1.0,12.039,0.05299950890457184,0.3444638382310372,1.0361764382622876
ema_fixed_high,homo,5,200,42,1000,5.0,5.0,1.0,9.311,0.0739840314624114,0.3105624325279503,1.3146885385584275
ema_adaptive,homo,5,200,42,1000,5.0,5.0,1.0,12.383,0.05112370545634809,0.3404203386307839,1.0674603810770382
ema_ad_low,homo,5,200,42,1000,5.0,5.0,1.0,8.75,0.08072939503340591,0.3225703719422709,0.6939107166993487
ema_ad_med,homo,5,200,42,1000,5.0,5.0,1.0,9.981,0.06949895739075196,0.3310097821725294,0.8459519514103495
ema_no_coll,homo,5,200,42,1000,5.0,5.0,1.0,8.013,0.09687794651905657,0.3150199642230278,0.5953656485775564
consec_L2,homo,5,200,42,1000,5.0,5.0,1.0,9.246,0.07256157845563174,0.3045573560432913,0.774992195214001
consec_L4,homo,5,200,42,1000,5.0,5.0,1.0,11.716,0.05317788288886855,0.3396642370219644,0.3617083008037272
