access,w_eff,n_vis,n_nat,eps_i,r,tau_bar,tau_nat,T,rho,T_nv,rho_nv,T_ev,rho_ev
rts,420,50,10,0.145,5.0,0.006692,0.02693,0.74881,0.68317,0.75344,0.52114,0.75729,0.48291
rts,420,50,20,0.017,1.0,0.020943,0.00978,0.72145,1.22287,0.58801,0.76899,0.61504,0.74516
rts,420,50,20,0.017,3.0,0.00891,0.01452,0.7494,0.93708,0.67177,0.47419,0.68064,0.44202
rts,420,50,20,0.034,2.0,0.013527,0.0128,0.74383,1.08883,0.64226,0.61403,0.65746,0.58289
rts,420,50,20,0.034,5.0,0.002904,0.02,0.74251,0.45964,0.70396,0.19925,0.70624,0.17937
rts,420,50,20,0.07,3.0,0.009649,0.01484,0.74774,0.93575,0.6673,0.49973,0.67712,0.46737
rts,420,50,20,0.145,5.0,0.003884,0.01967,0.74141,0.51204,0.69926,0.25448,0.70247,0.23067
rts,1680,5,5,0.017,1.0,0.262892,0.00874,0.72504,1.95791,0.68744,1.78088,0.69626,1.81164
rts,1680,5,5,0.017,3.0,0.165913,0.01441,0.77108,1.8809,0.75005,1.63853,0.75394,1.6616
rts,1680,5,5,0.034,2.0,0.206311,0.01119,0.75418,1.9228,0.72722,1.71113,0.73293,1.73801
rts,1680,5,5,0.034,5.0,0.129486,0.01807,0.78032,1.81678,0.76671,1.54439,0.76921,1.56289
rts,1680,5,5,0.07,3.0,0.180163,0.01219,0.76407,1.90736,0.74251,1.6671,0.74701,1.69164
rts,1680,5,5,0.145,5.0,0.796499,0.00386,0.27435,1.84579,0.02683,1.97783,0.03575,2.02079
rts,1680,5,10,0.017,1.0,0.263277,0.00576,0.72054,2.91253,0.63883,2.4085,0.64838,2.45833
rts,1680,5,10,0.017,3.0,0.15996,0.00991,0.77073,2.77067,0.71336,2.05353,0.7175,2.08514
rts,1680,5,10,0.034,2.0,0.200651,0.0074,0.75642,2.86479,0.68754,2.22283,0.69356,2.26265
rts,1680,5,10,0.034,5.0,0.119868,0.01366,0.78075,2.58496,0.73449,1.82437,0.73708,1.84627
