sweep,config,method,seed,succ_v,succ_n,coll_air,idle_air,oh_air,useful
B,rts_24m,pace,123,0.6398285714285714,0.05619047619047619,0.12651428571428572,0.010895238095238095,0.11885714285714286,0.6960190476190476
B,rts_24m,oracle,123,0.5262095238095238,0.21857142857142858,0.06098571428571429,0.017361904761904762,0.13238095238095238,0.7447809523809524
B,rts_24m,dcf_conv,456,0.40763333333333335,0.27976190476190477,0.09955714285714286,0.033666666666666664,0.12457142857142857,0.6873952380952381
B,rts_24m,pace,456,0.6428380952380952,0.05880952380952381,0.12244285714285714,0.011114285714285714,0.12052380952380952,0.7016476190476191
B,rts_24m,oracle,456,0.5420095238095238,0.20452380952380952,0.060257142857142856,0.017185714285714287,0.13295238095238096,0.7465333333333334
B,rts_24m,dcf_conv,789,0.4211857142857143,0.27166666666666667,0.09921428571428571,0.03291904761904762,0.12561904761904763,0.692852380952381
B,rts_24m,pace,789,0.6349523809523809,0.055,0.13474285714285714,0.010566666666666667,0.11795238095238095,0.689952380952381
B,rts_24m,oracle,789,0.54,0.2061904761904762,0.06085714285714286,0.017966666666666666,0.13152380952380952,0.7461904761904762
B,rts_24m,dcf_conv,1234,0.4173904761904762,0.27404761904761904,0.10234285714285714,0.03328095238095238,0.12419047619047618,0.6914380952380952
B,rts_24m,pace,1234,0.6396571428571428,0.055952380952380955,0.12947142857142857,0.010514285714285714,0.11719047619047619,0.6956095238095238
B,rts_24m,oracle,1234,0.533547619047619,0.21095238095238095,0.059742857142857146,0.01718095238095238,0.13185714285714287,0.7445
B,rts_6m,dcf_conv,42,0.3930904761904762,0.24404761904761904,0.10591428571428571,0.029014285714285715,0.17242857142857143,0.6371380952380953
B,rts_6m,pace,42,0.5668857142857143,0.043095238095238096,0.17526666666666665,0.009242857142857143,0.15807142857142858,0.6099809523809524
B,rts_6m,oracle,42,0.49326190476190473,0.19166666666666668,0.06474285714285714,0.015876190476190478,0.18542857142857141,0.6849285714285714
B,rts_6m,dcf_conv,123,0.375,0.25976190476190475,0.11,0.028852380952380952,0.1727857142857143,0.6347619047619047
B,rts_6m,pace,123,0.5376571428571428,0.04642857142857143,0.20674761904761904,0.008942857142857143,0.15021428571428572,0.5840857142857143
B,rts_6m,oracle,123,0.4931190476190476,0.19238095238095237,0.0671,0.01648095238095238,0.18228571428571427,0.6855
B,rts_6m,dcf_conv,456,0.3762238095238095,0.2580952380952381,0.10884761904761905,0.029361904761904763,0.1737142857142857,0.6343190476190477
B,rts_6m,pace,456,0.5819619047619048,0.05357142857142857,0.1373952380952381,0.009661904761904762,0.16435714285714287,0.6355333333333333
B,rts_6m,oracle,456,0.4958952380952381,0.18785714285714286,0.06783333333333333,0.01571904761904762,0.18407142857142858,0.683752380952381
B,rts_6m,dcf_conv,789,0.3841857142857143,0.24928571428571428,0.11167619047619047,0.02982857142857143,0.17114285714285715,0.6334714285714286
B,rts_6m,pace,789,0.5924571428571429,0.04833333333333333,0.1321047619047619,0.009780952380952381,0.16457142857142856,0.6407904761904762
B,rts_6m,oracle,789,0.4916,0.1911904761904762,0.06956190476190476,0.016023809523809524,0.18128571428571427,0.6827904761904762
B,rts_6m,dcf_conv,1234,0.3906,0.24333333333333335,0.10832380952380953,0.030104761904761905,0.17114285714285715,0.6339333333333333
B,rts_6m,pace,1234,0.5807952380952381,0.05785714285714286,0.13797142857142858,0.009923809523809524,0.16292857142857142,0.638652380952381
B,rts_6m,oracle,1234,0.49365714285714285,0.19238095238095237,0.06788571428571429,0.01575238095238095,0.18107142857142858,0.6860380952380952
