topology,N,W_eff,protocol,seed,CW0,mean_success,std_success,mean_spatial_reuse,mean_degree,alpha_G
complete,16,200,oracle_topology,123,4,16.0,0.0,0.0,15.0,1
complete,16,500,dcf_ieee,123,16,16.0,0.0,0.0,15.0,1
complete,16,500,dcf_topology,123,32,16.0,0.0,0.0,15.0,1
complete,16,500,mfg_full_N,123,,16.0,0.0,0.0,15.0,1
complete,16,500,mfg_perfect_local,123,,16.0,0.0,0.0,15.0,1
complete,16,500,mfg_carrier_sense,123,,16.0,0.0,0.0,15.0,1
complete,16,500,oracle_topology,123,4,16.0,0.0,0.0,15.0,1
complete,16,20,dcf_ieee,456,16,4.866666666666666,1.4544949486180951,0.0,15.0,1
complete,16,20,dcf_topology,456,32,4.966666666666667,1.471582670309608,0.0,15.0,1
complete,16,20,mfg_full_N,456,,7.733333333333333,2.220110107379562,0.0,15.0,1
complete,16,20,mfg_perfect_local,456,,7.733333333333333,2.220110107379562,0.0,15.0,1
complete,16,20,mfg_carrier_sense,456,,7.333333333333333,2.195955878933414,0.0,15.0,1
complete,16,20,oracle_topology,456,32,5.133333333333334,0.0,0.0,15.0,1
complete,16,50,dcf_ieee,456,16,11.033333333333333,2.040969268645551,0.0,15.0,1
complete,16,50,dcf_topology,456,32,11.0,2.422120283277993,0.0,15.0,1
complete,16,50,mfg_full_N,456,,15.9,0.5385164807134504,0.0,15.0,1
complete,16,50,mfg_perfect_local,456,,15.9,0.5385164807134504,0.0,15.0,1
complete,16,50,mfg_carrier_sense,456,,14.266666666666667,1.0624918300339485,0.0,15.0,1
complete,16,50,oracle_topology,456,26,11.266666666666667,0.0,0.0,15.0,1
complete,16,100,dcf_ieee,456,16,15.133333333333333,1.2310790208412925,0.0,15.0,1
complete,16,100,dcf_topology,456,32,15.133333333333333,0.9213516640723501,0.0,15.0,1
complete,16,100,mfg_full_N,456,,16.0,0.0,0.0,15.0,1
complete,16,100,mfg_perfect_local,456,,16.0,0.0,0.0,15.0,1
complete,16,100,mfg_carrier_sense,456,,16.0,0.0,0.0,15.0,1
complete,16,100,oracle_topology,456,11,15.333333333333334,0.0,0.0,15.0,1
complete,16,200,dcf_ieee,456,16,16.0,0.0,0.0,15.0,1
complete,16,200,dcf_topology,456,32,16.0,0.0,0.0,15.0,1
complete,16,200,mfg_full_N,456,,16.0,0.0,0.0,15.0,1
complete,16,200,mfg_perfect_local,456,,16.0,0.0,0.0,15.0,1
complete,16,200,mfg_carrier_sense,456,,16.0,0.0,0.0,15.0,1
complete,16,200,oracle_topology,456,17,16.0,0.0,0.0,15.0,1
complete,16,500,dcf_ieee,456,16,16.0,0.0,0.0,15.0,1
complete,16,500,dcf_topology,456,32,16.0,0.0,0.0,15.0,1
complete,16,500,mfg_full_N,456,,16.0,0.0,0.0,15.0,1
complete,16,500,mfg_perfect_local,456,,16.0,0.0,0.0,15.0,1
complete,16,500,mfg_carrier_sense,456,,16.0,0.0,0.0,15.0,1
complete,16,500,oracle_topology,456,4,16.0,0.0,0.0,15.0,1
complete,16,20,dcf_ieee,789,16,4.5,1.5,0.0,15.0,1
complete,16,20,dcf_topology,789,32,4.333333333333333,1.4907119849998598,0.0,15.0,1
complete,16,20,mfg_full_N,789,,8.5,2.539685019840059,0.0,15.0,1
complete,16,20,mfg_perfect_local,789,,8.5,2.539685019840059,0.0,15.0,1
complete,16,20,mfg_carrier_sense,789,,7.433333333333334,2.431506163311585,0.0,15.0,1
complete,16,20,oracle_topology,789,20,5.266666666666667,0.0,0.0,15.0,1
complete,16,50,dcf_ieee,789,16,10.633333333333333,2.057236549894596,0.0,15.0,1
complete,16,50,dcf_topology,789,32,10.866666666666667,1.9447936194419762,0.0,15.0,1
complete,16,50,mfg_full_N,789,,15.866666666666667,0.7180219742846004,0.0,15.0,1
complete,16,50,mfg_perfect_local,789,,15.866666666666667,0.7180219742846004,0.0,15.0,1
complete,16,50,mfg_carrier_sense,789,,13.966666666666667,1.6428295373802142,0.0,15.0,1
complete,16,50,oracle_topology,789,11,11.666666666666666,0.0,0.0,15.0,1
complete,16,100,dcf_ieee,789,16,15.066666666666666,0.8919392106839769,0.0,15.0,1
complete,16,100,dcf_topology,789,32,14.866666666666667,1.0561986345169907,0.0,15.0,1
complete,16,100,mfg_full_N,789,,16.0,0.0,0.0,15.0,1
complete,16,100,mfg_perfect_local,789,,16.0,0.0,0.0,15.0,1
complete,16,100,mfg_carrier_sense,789,,15.966666666666667,0.17950549357115012,0.0,15.0,1
complete,16,100,oracle_topology,789,11,15.466666666666667,0.0,0.0,15.0,1
complete,16,200,dcf_ieee,789,16,16.0,0.0,0.0,15.0,1
complete,16,200,dcf_topology,789,32,15.966666666666667,0.1795054935711501,0.0,15.0,1
complete,16,200,mfg_full_N,789,,16.0,0.0,0.0,15.0,1
complete,16,200,mfg_perfect_local,789,,16.0,0.0,0.0,15.0,1
complete,16,200,mfg_carrier_sense,789,,16.0,0.0,0.0,15.0,1
complete,16,200,oracle_topology,789,4,16.0,0.0,0.0,15.0,1
complete,16,500,dcf_ieee,789,16,16.0,0.0,0.0,15.0,1
complete,16,500,dcf_topology,789,32,16.0,0.0,0.0,15.0,1
complete,16,500,mfg_full_N,789,,16.0,0.0,0.0,15.0,1
complete,16,500,mfg_perfect_local,789,,16.0,0.0,0.0,15.0,1
complete,16,500,mfg_carrier_sense,789,,16.0,0.0,0.0,15.0,1
complete,16,500,oracle_topology,789,4,16.0,0.0,0.0,15.0,1
complete,16,20,dcf_ieee,1234,16,4.766666666666667,2.011356645539412,0.0,15.0,1
complete,16,20,dcf_topology,1234,32,4.433333333333334,1.33374993491617,0.0,15.0,1
complete,16,20,mfg_full_N,1234,,8.333333333333334,2.5077657165072034,0.0,15.0,1
