method,ppdu_dist,N,W_eff,seed,visit,successes,oracle_successes,efficiency,useful_slots,W_eff_utilization,viable_slots_wasted,collision_rate,tau_rmse,false_trigger_rate
oracle,homo,10,50,42,1000,4.399,4.282,1.1886047619047624,26.394,0.5278800000000086,3.818,0.26587695882548873,0.0,0.0
mfg_no_excl,homo,10,50,42,1000,4.32,4.282,1.16645119047619,25.92,0.5184000000000081,3.783,0.27285291546688695,0.0,0.0
self_excl_only,homo,10,50,42,1000,4.324,4.282,1.1564940476190482,25.944,0.5188800000000082,3.938,0.26644088366483953,0.0,0.0
ema_fixed_low,homo,10,50,42,1000,4.69,4.282,1.259414285714286,28.14,0.5628000000000091,9.283,0.09990956517092389,0.07472582541405116,3.2295113635039394
ema_fixed_high,homo,10,50,42,1000,4.562,4.282,1.2278702380952375,27.372,0.547440000000009,7.683,0.1380995862539598,0.06542221224857689,4.030460541243249
ema_adaptive,homo,10,50,42,1000,4.645,4.282,1.2594761904761904,27.87,0.557400000000009,9.23,0.10381120375014738,0.07479131882549864,3.091061167520652
ema_ad_low,homo,10,50,42,1000,4.689,4.282,1.2588833333333336,28.134,0.5626800000000094,6.02,0.17378336301641287,0.051517664600749476,1.7303167611628152
ema_ad_med,homo,10,50,42,1000,4.738,4.282,1.2778976190476194,28.428,0.5685600000000097,7.165,0.1387886622364566,0.06222274163856601,2.2376270902815785
ema_no_coll,homo,10,50,42,1000,4.689,4.282,1.2641047619047616,28.134,0.5626800000000093,5.233,0.19781216383375827,0.045519945951539444,1.3391992894059863
consec_L2,homo,10,50,42,1000,4.641,4.282,1.2474845238095233,27.846,0.5569200000000091,7.671,0.13063480852223217,0.06749958616646885,2.0733487431771893
consec_L4,homo,10,50,42,1000,4.566,4.282,1.236748809523809,27.396,0.5479200000000086,9.468,0.10347390886547318,0.07630596275927069,0.9555450939755116
dcf_self_excl,homo,10,50,42,1000,3.698,4.282,0.9948630952380956,22.188,0.44376000000000676,8.134,0.1946870209726637,0.0,0.0
pnd,homo,10,50,42,1000,4.244,4.282,1.1511321428571435,25.464,0.5092800000000081,4.046,0.25585658785658894,0.0,0.0
pnd_cd,homo,10,50,42,1000,4.212,4.282,1.1349428571428564,25.272,0.5054400000000078,4.232,0.2509303446553455,0.0,0.0
and,homo,10,50,42,1000,0.87,4.282,0.23669285714285695,5.22,0.10440000000000017,0.274,0.8647308080808107,0.0,0.0
oracle,homo,10,50,123,1000,4.334,4.299,1.1581809523809525,26.004,0.5200800000000084,3.765,0.27363914875544193,0.0,0.0
mfg_no_excl,homo,10,50,123,1000,4.406,4.299,1.1764095238095233,26.436,0.5287200000000083,3.704,0.2675666595659249,0.0,0.0
self_excl_only,homo,10,50,123,1000,4.31,4.299,1.1503035714285719,25.86,0.5172000000000084,3.635,0.2789886829673601,0.0,0.0
ema_fixed_low,homo,10,50,123,1000,4.614,4.299,1.2274166666666664,27.684,0.553680000000009,9.43,0.10242677735663087,0.07365043849420141,3.326381899991133
ema_fixed_high,homo,10,50,123,1000,4.729,4.299,1.266060714285712,28.374,0.5674800000000089,7.502,0.12926897477737329,0.06631656283429636,3.814690195215004
ema_adaptive,homo,10,50,123,1000,4.61,4.299,1.2267714285714302,27.66,0.553200000000009,9.333,0.1048079174763263,0.07460116673734499,3.186565803342011
ema_ad_low,homo,10,50,123,1000,4.709,4.299,1.2528297619047633,28.254,0.5650800000000091,5.975,0.1720996907246521,0.05159671527265546,1.7519221450634004
ema_ad_med,homo,10,50,123,1000,4.752,4.299,1.2671559523809517,28.512,0.5702400000000095,7.004,0.1420588289892085,0.06267778534953605,2.1834820731684887
ema_no_coll,homo,10,50,123,1000,4.548,4.299,1.2111869047619053,27.288,0.5457600000000089,5.268,0.20956735088526898,0.0432824830067914,1.4164144287815716
consec_L2,homo,10,50,123,1000,4.577,4.299,1.2174952380952377,27.462,0.5492400000000096,7.78,0.13513528595157914,0.06720045816723691,2.1022095880985185
consec_L4,homo,10,50,123,1000,4.537,4.299,1.2149797619047609,27.222,0.5444400000000091,9.63,0.10235561039090338,0.07672214930020109,0.9555177149886783
dcf_self_excl,homo,10,50,123,1000,3.709,4.299,0.9925654761904756,22.254,0.4450800000000072,8.156,0.19280035231366482,0.0,0.0
pnd,homo,10,50,123,1000,4.146,4.299,1.1144273809523804,24.876,0.4975200000000077,4.011,0.26580276945277065,0.0,0.0
pnd_cd,homo,10,50,123,1000,4.298,4.299,1.1468630952380938,25.788,0.5157600000000081,4.2,0.24558219558219682,0.0,0.0
and,homo,10,50,123,1000,0.9,4.299,0.23757738095238076,5.4,0.10800000000000018,0.278,0.8611305555555581,0.0,0.0
oracle,homo,10,50,456,1000,4.31,4.323,1.1345083333333328,25.86,0.517200000000008,3.802,0.2740899413452052,0.0,0.0
mfg_no_excl,homo,10,50,456,1000,4.308,4.323,1.134719047619047,25.848,0.5169600000000082,3.792,0.27465014691191236,0.0,0.0
self_excl_only,homo,10,50,456,1000,4.351,4.323,1.1496702380952377,26.106,0.522120000000008,3.714,0.27250092595313263,0.0,0.0
ema_fixed_low,homo,10,50,456,1000,4.606,4.323,1.2222476190476188,27.636,0.5527200000000085,9.465,0.10255451034607287,0.07448077853191032,3.2879318308228567
ema_fixed_high,homo,10,50,456,1000,4.646,4.323,1.2299452380952374,27.876,0.5575200000000093,7.608,0.13599689350037678,0.06545228988445108,3.9374618621187856
ema_adaptive,homo,10,50,456,1000,4.624,4.323,1.2276035714285705,27.744,0.5548800000000089,9.392,0.10345225844727103,0.07402023526919306,3.1834853451452036
ema_ad_low,homo,10,50,456,1000,4.693,4.323,1.2376857142857147,28.158,0.5631600000000081,6.023,0.17255096692523167,0.052100379645114284,1.7513458605120384
ema_ad_med,homo,10,50,456,1000,4.756,4.323,1.2582464285714283,28.536,0.5707200000000094,7.102,0.139116432539769,0.06192380387594653,2.2228510691965395
ema_no_coll,homo,10,50,456,1000,4.584,4.323,1.215071428571428,27.504,0.5500800000000087,5.187,0.2052726696849765,0.043375363213184366,1.3646156081062049
consec_L2,homo,10,50,456,1000,4.638,4.323,1.2311345238095235,27.828,0.5565600000000092,7.496,0.13461662403643898,0.06809931305488505,2.039409649964755
consec_L4,homo,10,50,456,1000,4.69,4.323,1.235130952380952,28.14,0.5628000000000088,9.331,0.09708473163489464,0.07716728907227036,0.9006530402930403
dcf_self_excl,homo,10,50,456,1000,3.678,4.323,0.9731797619047615,22.068,0.44136000000000697,8.095,0.19662218356548863,0.0,0.0
pnd,homo,10,50,456,1000,4.127,4.323,1.0967214285714275,24.762,0.49524000000000734,3.981,0.2680716061716074,0.0,0.0
pnd_cd,homo,10,50,456,1000,4.264,4.323,1.1279666666666655,25.584,0.511680000000008,4.229,0.2467983238983248,0.0,0.0
and,homo,10,50,456,1000,0.881,4.323,0.2354892857142855,5.286,0.10572000000000004,0.277,0.8632250000000026,0.0,0.0
oracle,homo,10,50,789,1000,4.314,4.305,1.1601702380952366,25.884,0.5176800000000079,3.75,0.27504187291466786,0.0,0.0
mfg_no_excl,homo,10,50,789,1000,4.342,4.305,1.1641785714285708,26.052,0.5210400000000084,3.777,0.2710467003928312,0.0,0.0
self_excl_only,homo,10,50,789,1000,4.302,4.305,1.1499702380952364,25.812,0.5162400000000086,3.669,0.2783023472399643,0.0,0.0
