ppdu_config,num_stas,method,threshold_mode,seed,aggregate_throughput,collision_probability_npca,npca_transition_count,mean_qsrc,tp_short,tp_medium,tp_long
homo_medium,20,fixed_q0_tppdu,ppdu,42,142,0.7230392156862745,757,0.0,,,
homo_medium,20,fixed_q0_tppdu,ppdu,123,144,0.7701612903225806,777,0.0,,,
homo_medium,20,fixed_q0_tppdu,ppdu,456,131,0.7920433996383364,778,0.0,,,
homo_medium,20,fixed_q1_t0,zero,42,141,0.38095238095238093,858,1.0,,,
homo_medium,20,fixed_q1_t0,zero,123,124,0.49606299212598426,800,1.0,,,
homo_medium,20,fixed_q1_t0,zero,456,146,0.4792626728110599,818,1.0,,,
homo_medium,20,fixed_q1_tppdu,ppdu,42,144,0.40641711229946526,755,1.0,,,
homo_medium,20,fixed_q1_tppdu,ppdu,123,127,0.4230769230769231,718,1.0,,,
homo_medium,20,fixed_q1_tppdu,ppdu,456,146,0.42790697674418604,855,1.0,,,
homo_medium,20,adaptive_t0,zero,42,128,0.6833855799373041,719,0.22948539638386647,,,
homo_medium,20,adaptive_t0,zero,123,132,0.6948717948717948,780,0.24102564102564103,,,
homo_medium,20,adaptive_t0,zero,456,131,0.7272727272727273,759,0.2872200263504611,,,
homo_medium,20,adaptive_tppdu,ppdu,42,128,0.6833855799373041,715,0.23076923076923078,,,
homo_medium,20,adaptive_tppdu,ppdu,123,142,0.6898395721925134,757,0.23645970937912814,,,
homo_medium,20,adaptive_tppdu,ppdu,456,134,0.7089552238805971,796,0.25753768844221103,,,
homo_medium,20,oracle_t0,zero,42,141,0.38095238095238093,858,1.0,,,
homo_medium,20,oracle_t0,zero,123,124,0.49606299212598426,800,1.0,,,
homo_medium,20,oracle_t0,zero,456,146,0.4792626728110599,818,1.0,,,
homo_medium,20,oracle_tppdu,ppdu,42,144,0.40641711229946526,755,1.0,,,
homo_medium,20,oracle_tppdu,ppdu,123,127,0.4230769230769231,718,1.0,,,
homo_medium,20,oracle_tppdu,ppdu,456,146,0.42790697674418604,855,1.0,,,
homo_medium,30,fixed_q0_t0,zero,42,121,0.8508771929824561,1260,0.0,,,
homo_medium,30,fixed_q0_t0,zero,123,126,0.8828365878725591,1230,0.0,,,
homo_medium,30,fixed_q0_t0,zero,456,122,0.9052924791086351,1169,0.0,,,
homo_medium,30,fixed_q0_tppdu,ppdu,42,117,0.8595800524934383,1284,0.0,,,
homo_medium,30,fixed_q0_tppdu,ppdu,123,124,0.8953771289537713,1074,0.0,,,
homo_medium,30,fixed_q0_tppdu,ppdu,456,130,0.9027504911591355,1137,0.0,,,
homo_medium,30,fixed_q1_t0,zero,42,137,0.6038961038961039,1320,1.0,,,
homo_medium,30,fixed_q1_t0,zero,123,131,0.6396103896103896,1168,1.0,,,
homo_medium,30,fixed_q1_t0,zero,456,136,0.6512261580381471,1260,1.0,,,
homo_medium,30,fixed_q1_tppdu,ppdu,42,135,0.5847750865051903,1256,1.0,,,
homo_medium,30,fixed_q1_tppdu,ppdu,123,138,0.62751677852349,1195,1.0,,,
homo_medium,30,fixed_q1_tppdu,ppdu,456,122,0.6752577319587629,1284,1.0,,,
homo_medium,30,adaptive_t0,zero,42,137,0.8294460641399417,1410,0.21773049645390072,,,
homo_medium,30,adaptive_t0,zero,123,128,0.8603491271820449,1289,0.24049650892164467,,,
homo_medium,30,adaptive_t0,zero,456,132,0.8651685393258427,1170,0.2547008547008547,,,
homo_medium,30,adaptive_tppdu,ppdu,42,124,0.8263473053892215,1255,0.22310756972111553,,,
homo_medium,30,adaptive_tppdu,ppdu,123,119,0.8571428571428571,1168,0.2988013698630137,,,
homo_medium,30,adaptive_tppdu,ppdu,456,124,0.8757612667478685,1197,0.24227234753550542,,,
homo_medium,30,oracle_t0,zero,42,137,0.6038961038961039,1320,1.0,,,
homo_medium,30,oracle_t0,zero,123,131,0.6396103896103896,1168,1.0,,,
homo_medium,30,oracle_t0,zero,456,136,0.6512261580381471,1260,1.0,,,
