obss_duration,weff,num_stas,npca_qsrc,seed,aggregate_throughput,collision_probability_npca,npca_transition_count
150,130,5,0,456,728,0.3191176470588235,355
150,130,5,1,42,711,0.17841409691629956,315
150,130,5,1,123,735,0.18398268398268397,315
150,130,5,1,456,742,0.1629327902240326,350
150,130,5,2,42,703,0.11463414634146342,360
150,130,5,2,123,733,0.10362694300518134,340
150,130,5,2,456,712,0.09592326139088729,380
150,130,5,3,42,650,0.030534351145038167,335
150,130,5,3,123,652,0.045454545454545456,330
150,130,5,3,456,626,0.04633204633204633,335
150,130,5,4,42,624,0.025974025974025976,315
150,130,5,4,123,606,0.046511627906976744,340
150,130,5,4,456,596,0.012345679012345678,335
150,130,5,5,42,525,0.0,79
150,130,5,5,123,498,0.0,104
150,130,5,5,456,474,0.0,56
150,130,10,0,42,748,0.5409504550050556,670
150,130,10,0,123,786,0.525691699604743,700
150,130,10,0,456,799,0.5314232902033271,740
150,130,10,1,42,789,0.34419817470664926,770
150,130,10,1,123,788,0.31759656652360513,720
150,130,10,1,456,770,0.3452566096423017,650
150,130,10,2,42,733,0.1750599520383693,600
150,130,10,2,123,737,0.1566265060240964,710
150,130,10,2,456,745,0.23977695167286245,700
150,130,10,3,42,682,0.09944751381215469,690
150,130,10,3,123,699,0.07479224376731301,680
150,130,10,3,456,671,0.12962962962962962,680
150,130,10,4,42,616,0.04633204633204633,710
150,130,10,4,123,632,0.03187250996015936,690
150,130,10,4,456,619,0.024793388429752067,690
150,130,10,5,42,557,0.0,224
150,130,10,5,123,560,0.0,242
150,130,10,5,456,552,0.0,231
150,130,20,0,42,774,0.7667458432304038,1440
150,130,20,0,123,760,0.7707930367504836,1380
150,130,20,0,456,731,0.7676438653637351,1260
150,130,20,1,42,787,0.5321931589537223,1360
150,130,20,1,123,746,0.5101449275362319,1480
150,130,20,1,456,746,0.4972129319955407,1320
150,130,20,2,42,753,0.3112391930835735,1500
150,130,20,2,123,734,0.3069306930693069,1320
150,130,20,2,456,763,0.23636363636363636,1280
150,130,20,3,42,744,0.18410041841004185,1360
150,130,20,3,123,688,0.18724279835390947,1380
150,130,20,3,456,733,0.18627450980392157,1460
150,130,20,4,42,660,0.10714285714285714,1420
150,130,20,4,123,681,0.0872093023255814,1340
150,130,20,4,456,696,0.0712166172106825,1360
150,130,20,5,42,535,0.0,536
150,130,20,5,123,551,0.014814814814814815,547
150,130,20,5,456,551,0.03418803418803419,515
150,130,30,0,42,732,0.8669168591224018,2100
150,130,30,0,123,747,0.8684538653366584,1950
150,130,30,0,456,730,0.8761363636363636,2040
150,130,30,1,42,736,0.6566961250849762,2220
150,130,30,1,123,736,0.6655076495132128,2100
150,130,30,1,456,765,0.6914285714285714,2160
150,130,30,2,42,730,0.464068209500609,1980
150,130,30,2,123,743,0.4275449101796407,2160
150,130,30,2,456,739,0.3574660633484163,1920
150,130,30,3,42,716,0.21482889733840305,2040
150,130,30,3,123,737,0.2689075630252101,2130
150,130,30,3,456,701,0.20224719101123595,2100
150,130,30,4,42,713,0.10714285714285714,1980
150,130,30,4,123,717,0.16294642857142858,2160
150,130,30,4,456,700,0.0764872521246459,1830
150,130,30,5,42,575,0.0106951871657754,883
150,130,30,5,123,573,0.0861244019138756,1120
150,130,30,5,456,596,0.0,936
150,130,50,0,42,686,0.945465235925327,3150
150,130,50,0,123,681,0.9475113122171945,3450
150,130,50,0,456,683,0.94806614732814,3300
150,130,50,1,42,729,0.863013698630137,3250
150,130,50,1,123,713,0.8404033379694019,3500
150,130,50,1,456,709,0.8521286967825804,3500
150,130,50,2,42,744,0.596892138939671,3250
150,130,50,2,123,741,0.5831305758313058,3750
150,130,50,2,456,721,0.5612343297974928,3350
150,130,50,3,42,715,0.3132328308207705,3100
150,130,50,3,123,723,0.3706111833550065,3700
150,130,50,3,456,715,0.36010709504685406,3650
150,130,50,4,42,713,0.15839243498817968,2950
150,130,50,4,123,716,0.17903930131004367,3200
150,130,50,4,456,696,0.19839679358717435,3450
