method,ppdu_dist,N,W_eff,seed,W_eff_utilization,mean_jain,p_success_small,p_success_large,class_gap,p_cond_small,p_cond_large
oracle,bimodal,20,50,123,0.7862400000000003,0.2719,0.3268823707287572,0.2177795416211926,0.10910282910756461,0.026003078995477727,0.020034135611474678
pnd,bimodal,20,50,123,0.7741600000000002,0.26435000000000003,0.31166213083358535,0.2177795416211926,0.09388258921239276,0.02413268292682927,0.019954545454545454
ema_ad_low,bimodal,20,50,123,0.7642400000000003,0.25635,0.2937203910896079,0.21956543307867843,0.07415495801092947,0.02227147661265668,0.020301262292675766
consec_L2,bimodal,20,50,123,0.7314400000000002,0.24375000000000002,0.27628263279911297,0.21172735390415715,0.06455527889495583,0.019197097673376195,0.01791636232358596
dcf_self_excl,bimodal,20,50,123,0.6677600000000001,0.22835000000000003,0.26983167019453685,0.18751860303601547,0.08231306715852138,0.015783453610678743,0.013104705906824847
and,bimodal,20,50,123,0.4097600000000001,0.156,0.2075395625440984,0.10129973211628138,0.10623983042781701,0.0069188455373614295,0.0036984847442032317
oracle,bimodal,20,50,456,0.7908800000000002,0.27429999999999993,0.3256689791873142,0.22199798183652875,0.10367099735078544,0.0261690876656473,0.021148355715343133
pnd,bimodal,20,50,456,0.7726400000000001,0.2616,0.299207135777998,0.22330978809283553,0.07589734768516249,0.02300208001584774,0.020451352949874317
ema_ad_low,bimodal,20,50,456,0.7610400000000002,0.26095,0.3044598612487612,0.21664984863773964,0.08781001261102153,0.022957753846843683,0.01963545906002213
consec_L2,bimodal,20,50,456,0.7276000000000001,0.24515,0.27819623389494547,0.21150353178607467,0.0666927021088708,0.01898096493897285,0.017431223179534945
dcf_self_excl,bimodal,20,50,456,0.6686400000000001,0.22920000000000001,0.26729435084241826,0.19041372351160443,0.07688062733081383,0.015559735074885192,0.013406368557909545
and,bimodal,20,50,456,0.40760000000000013,0.15505000000000002,0.20555004955401388,0.10161453077699294,0.10393551877702094,0.006817143439403352,0.003681537837215339
oracle,bimodal,20,50,789,0.7902400000000002,0.2756,0.32927794263105836,0.22072800808897877,0.10854993454207959,0.026317037692891475,0.020611840241714665
pnd,bimodal,20,50,789,0.77192,0.26285000000000003,0.30276953511374877,0.22204246713852377,0.080727067975225,0.023175874679164425,0.0204692262520623
ema_ad_low,bimodal,20,50,789,0.7647200000000003,0.25844999999999996,0.29416419386745796,0.22194135490394337,0.07222283896351459,0.022331854054500538,0.020446183223883377
consec_L2,bimodal,20,50,789,0.7328000000000002,0.2459,0.27665677546983186,0.21445904954499495,0.06219772592483691,0.01931309727669447,0.018053522181743897
dcf_self_excl,bimodal,20,50,789,0.67072,0.22860000000000003,0.26369930761622157,0.19271991911021233,0.07097938850600924,0.01543315291325364,0.013493996375169914
and,bimodal,20,50,789,0.4113600000000001,0.15530000000000002,0.20652818991097924,0.10293225480283114,0.1035959351081481,0.006893591732972366,0.0037479106686596616
oracle,bimodal,20,50,1234,0.7880000000000003,0.2702,0.3188972431077694,0.22174563591022445,0.09715160719754495,0.025349643383671357,0.02094976015681692
pnd,bimodal,20,50,1234,0.7716000000000002,0.26525,0.3142857142857143,0.21645885286783043,0.09782686141788385,0.02419186813695607,0.019715622586653343
ema_ad_low,bimodal,20,50,1234,0.7630400000000002,0.25660000000000005,0.2936340852130326,0.2197506234413965,0.07388346177163607,0.022257177160747123,0.020339014347175804
consec_L2,bimodal,20,50,1234,0.72448,0.2459,0.2856140350877193,0.20638403990024937,0.07922999518746995,0.019489270298187887,0.01694707009812755
dcf_self_excl,bimodal,20,50,1234,0.6665600000000002,0.2258,0.26145363408521305,0.19032418952618455,0.0711294445590285,0.015148258937647026,0.013307666555071979
and,bimodal,20,50,1234,0.4135200000000001,0.15325,0.2018045112781955,0.10493765586034913,0.09686685541784636,0.006769094192298768,0.0038573089037102766
oracle,bimodal,20,100,42,0.8100000000000002,0.5350999999999999,0.5934527980778856,0.4768754370192788,0.11657736105860683,0.028295402474415764,0.023859740311665982
pnd,bimodal,20,100,42,0.79728,0.523,0.5730303333667034,0.473079612426331,0.09995072094037238,0.026329710161593765,0.02331420019887958
ema_ad_low,bimodal,20,100,42,0.7833199999999999,0.51085,0.5540094103513865,0.4677854360203776,0.08622397433100892,0.02474258147301968,0.022500576568265682
consec_L2,bimodal,20,100,42,0.7483999999999998,0.48130000000000006,0.5089598558414256,0.4537009289781241,0.05525892686330147,0.02029954202252754,0.01965102343672258
dcf_self_excl,bimodal,20,100,42,0.6736799999999998,0.43710000000000004,0.46971668835719294,0.4045549895115373,0.06516169884565565,0.015316665197677038,0.014215015267979362
