ppdu_config,num_stas,method,threshold_mode,seed,aggregate_throughput,collision_probability_npca,npca_transition_count,mean_qsrc,tp_short,tp_medium,tp_long
homo_medium,20,adaptive_t0,zero,456,1304,0.7650565262076053,8077,0.0427138789154389,,,
homo_medium,20,adaptive_tppdu,ppdu,42,1357,0.7429245283018868,8454,0.026023184291459663,,,
homo_medium,20,adaptive_tppdu,ppdu,123,1333,0.7617871113856289,8220,0.030413625304136254,,,
homo_medium,20,adaptive_tppdu,ppdu,456,1352,0.7529742591390872,8221,0.037100109475732876,,,
homo_medium,20,oracle_t0,zero,42,1374,0.46385017421602787,8867,1.0,,,
homo_medium,20,oracle_t0,zero,123,1349,0.4940008274720728,8473,1.0,,,
homo_medium,20,oracle_t0,zero,456,1370,0.4904296044236495,8568,1.0,,,
homo_medium,20,oracle_tppdu,ppdu,42,1392,0.4752770673486786,8691,1.0,,,
homo_medium,20,oracle_tppdu,ppdu,123,1352,0.4899159663865546,8480,1.0,,,
homo_medium,20,oracle_tppdu,ppdu,456,1347,0.4723731884057971,8288,1.0,,,
homo_medium,30,fixed_q0_t0,zero,42,1307,0.8840948407448865,13105,0.0,,,
homo_medium,30,fixed_q0_t0,zero,123,1272,0.8905777945619335,12958,0.0,,,
homo_medium,30,fixed_q0_t0,zero,456,1300,0.8870446216857081,12056,0.0,,,
homo_medium,30,fixed_q0_tppdu,ppdu,42,1300,0.8787777031564808,12640,0.0,,,
homo_medium,30,fixed_q0_tppdu,ppdu,123,1282,0.889385363916195,12724,0.0,,,
homo_medium,30,fixed_q0_tppdu,ppdu,456,1256,0.8827167191059998,12073,0.0,,,
homo_medium,30,fixed_q1_t0,zero,42,1351,0.6175100900341509,13339,1.0,,,
homo_medium,30,fixed_q1_t0,zero,123,1313,0.6303142329020333,12791,1.0,,,
homo_medium,30,fixed_q1_t0,zero,456,1338,0.6078171579993376,12741,1.0,,,
homo_medium,30,fixed_q1_tppdu,ppdu,42,1362,0.6278926257327985,12764,1.0,,,
homo_medium,30,fixed_q1_tppdu,ppdu,123,1382,0.6249215317011927,12492,1.0,,,
homo_medium,30,fixed_q1_tppdu,ppdu,456,1347,0.6391975308641975,12460,1.0,,,
homo_medium,30,adaptive_t0,zero,42,1289,0.8783524904214559,12897,0.025587345894394046,,,
homo_medium,30,adaptive_t0,zero,123,1322,0.8848616274266832,12777,0.02543633090709869,,,
homo_medium,30,adaptive_t0,zero,456,1286,0.8861128461378305,12387,0.02542988617098571,,,
homo_medium,30,adaptive_tppdu,ppdu,42,1312,0.8789084079107281,12243,0.025728987993138937,,,
